

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 13/01/2025 
Time:  	 10:57:27 
Username:  	  
Description:  	  
Dataset Channels: 	 2 
Dataset Samples:  	 4096 

Data taking Conditions:  	  
 
Dataset metadata
Date / Time creation: 	 20250113-T105727 
User: 	  
Activity code: 	 14 

PSAU settings:
 Channel in use: 	 0 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,96 
Gain [dB]: 	 32,00 
Threshold [mV]: 	 -200,00 
Channel Temperature [°C]: 	 25,20 
T Compensation:  	 On 
dV/dT 	 54,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 54,87 
Gain [dB]: 	 40,00 
Threshold [mV]: 	 -15,00 
Channel Temperature [°C]: 	 21,30 
T Compensation:  	 Off 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 On 
Channel 1 Status: 	 Off 
DC Offset 0: 	 -3 
DC Offset 1: 	 0 
Trigger Mode: 	 TRUE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 40 
Trigger 1 Thresh.: 	 10 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 504 | 64 | 512 
Baseline Mean|Thresh.|NoFlatTime: 	 1024 | 8 | 512 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-98 	0 	
-94 	0 	
-90 	0 	
-86 	0 	
-82 	0 	
-78 	0 	
-74 	0 	
-70 	0 	
-66 	0 	
-62 	0 	
-58 	0 	
-54 	0 	
-50 	0 	
-46 	0 	
-42 	0 	
-38 	0 	
-34 	0 	
-30 	0 	
-26 	0 	
-22 	0 	
-18 	0 	
-14 	0 	
-10 	7 	
-6 	92 	
-2 	748 	
2 	1669 	
6 	101 	
10 	6 	
14 	1 	
18 	0 	
22 	2 	
26 	1 	
30 	3 	
34 	2 	
38 	1 	
42 	3 	
46 	1 	
50 	8 	
54 	6 	
58 	6 	
62 	13 	
66 	16 	
70 	11 	
74 	21 	
78 	36 	
82 	39 	
86 	50 	
90 	72 	
94 	84 	
98 	123 	
102 	117 	
106 	164 	
110 	215 	
114 	280 	
118 	361 	
122 	459 	
126 	525 	
130 	629 	
134 	846 	
138 	1053 	
142 	1197 	
146 	1545 	
150 	1829 	
154 	2213 	
158 	2588 	
162 	3164 	
166 	3589 	
170 	4476 	
174 	5374 	
178 	6207 	
182 	7205 	
186 	8406 	
190 	9853 	
194 	11324 	
198 	12875 	
202 	14856 	
206 	16970 	
210 	19096 	
214 	21799 	
218 	24586 	
222 	27498 	
226 	30846 	
230 	34829 	
234 	38747 	
238 	42879 	
242 	47506 	
246 	52300 	
250 	57190 	
254 	63315 	
258 	68270 	
262 	75585 	
266 	81974 	
270 	88432 	
274 	96315 	
278 	103784 	
282 	111605 	
286 	119252 	
290 	128469 	
294 	136172 	
298 	144625 	
302 	152770 	
306 	160267 	
310 	168312 	
314 	175650 	
318 	181810 	
322 	188444 	
326 	193182 	
330 	196773 	
334 	200834 	
338 	202571 	
342 	203519 	
346 	203806 	
350 	203308 	
354 	200942 	
358 	197072 	
362 	193508 	
366 	187256 	
370 	181873 	
374 	176108 	
378 	168032 	
382 	161371 	
386 	153593 	
390 	145523 	
394 	137006 	
398 	129142 	
402 	120872 	
406 	113995 	
410 	106406 	
414 	99005 	
418 	92220 	
422 	85291 	
426 	79460 	
430 	74053 	
434 	68062 	
438 	63294 	
442 	57974 	
446 	53692 	
450 	49923 	
454 	45968 	
458 	42353 	
462 	38969 	
466 	36423 	
470 	33546 	
474 	30845 	
478 	28464 	
482 	26476 	
486 	24582 	
490 	22983 	
