

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 13/01/2025 
Time:  	 10:23:03 
Username:  	  
Description:  	  
Dataset Channels: 	 2 
Dataset Samples:  	 4096 

Data taking Conditions:  	  
 
Dataset metadata
Date / Time creation: 	 20250113-T102302 
User: 	  
Activity code: 	 14 

PSAU settings:
 Channel in use: 	 0 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,96 
Gain [dB]: 	 32,00 
Threshold [mV]: 	 -200,00 
Channel Temperature [°C]: 	 25,10 
T Compensation:  	 On 
dV/dT 	 54,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 54,87 
Gain [dB]: 	 40,00 
Threshold [mV]: 	 -15,00 
Channel Temperature [°C]: 	 21,30 
T Compensation:  	 Off 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 On 
Channel 1 Status: 	 Off 
DC Offset 0: 	 -3 
DC Offset 1: 	 0 
Trigger Mode: 	 TRUE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 40 
Trigger 1 Thresh.: 	 10 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 504 | 64 | 512 
Baseline Mean|Thresh.|NoFlatTime: 	 1024 | 8 | 512 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-98 	162 	
-94 	174 	
-90 	191 	
-86 	186 	
-82 	221 	
-78 	197 	
-74 	240 	
-70 	255 	
-66 	268 	
-62 	292 	
-58 	279 	
-54 	282 	
-50 	307 	
-46 	324 	
-42 	324 	
-38 	361 	
-34 	389 	
-30 	371 	
-26 	403 	
-22 	450 	
-18 	435 	
-14 	440 	
-10 	482 	
-6 	560 	
-2 	1060 	
2 	1800 	
6 	626 	
10 	530 	
14 	554 	
18 	529 	
22 	575 	
26 	569 	
30 	639 	
34 	601 	
38 	612 	
42 	655 	
46 	607 	
50 	668 	
54 	613 	
58 	709 	
62 	653 	
66 	686 	
70 	641 	
74 	703 	
78 	742 	
82 	670 	
86 	744 	
90 	764 	
94 	776 	
98 	800 	
102 	786 	
106 	863 	
110 	883 	
114 	892 	
118 	977 	
122 	964 	
126 	1017 	
130 	1069 	
134 	1253 	
138 	1368 	
142 	1440 	
146 	1540 	
150 	1767 	
154 	1926 	
158 	2227 	
162 	2588 	
166 	2805 	
170 	3159 	
174 	3594 	
178 	4299 	
182 	4872 	
186 	5596 	
190 	6535 	
194 	7308 	
198 	8272 	
202 	9367 	
206 	10633 	
210 	12075 	
214 	13670 	
218 	15518 	
222 	17231 	
226 	19451 	
230 	21791 	
234 	24462 	
238 	27077 	
242 	30068 	
246 	32918 	
250 	36532 	
254 	40168 	
258 	44223 	
262 	48567 	
266 	52677 	
270 	57277 	
274 	62843 	
278 	67782 	
282 	73020 	
286 	78636 	
290 	84385 	
294 	90475 	
298 	95968 	
302 	101294 	
306 	107637 	
310 	113055 	
314 	117613 	
318 	123035 	
322 	127077 	
326 	131633 	
330 	134852 	
334 	137268 	
338 	138299 	
342 	140648 	
346 	139956 	
350 	140035 	
354 	138564 	
358 	136573 	
362 	134189 	
366 	130704 	
370 	126960 	
374 	121940 	
378 	117488 	
382 	112964 	
386 	106397 	
390 	101596 	
394 	95476 	
398 	90530 	
402 	85522 	
406 	80092 	
410 	74669 	
414 	69866 	
418 	64668 	
422 	60287 	
426 	56021 	
430 	52421 	
434 	48530 	
438 	45054 	
442 	41442 	
446 	38307 	
450 	35479 	
454 	32697 	
458 	30412 	
462 	28090 	
466 	25824 	
470 	24183 	
474 	22048 	
478 	20611 	
482 	19175 	
486 	17633 	
490 	16614 	
494 	15689 	
498 	14693 	
502 	13712 	
506 	13127 	
510 	12513 	
514 	12062 	
518 	11728 	
522 	11463 	
526 	11095 	
530 	11136 	
534 	11034 	
538 	11218 	
542 	11514 	
546 	11855 	
550 	12191 	
554 	12658 	
558 	13154 	
562 	13674 	
566 	14733 	
570 	15254 	
574 	16250 	
578 	17096 	
582 	18340 	
586 	19393 	
590 	20831 	
594 	22287 	
598 	23467 	
602 	24604 	
606 	26210 	
610 	27763 	
614 	29208 	
618 	31240 	
622 	32604 	
626 	34191 	
630 	35193 	
634 	36663 	
638 	37840 	
642 	38776 	
646 	39574 	
650 	40847 	
654 	41311 	
658 	42098 	
662 	41989 	
666 	42034 	
670 	41641 	
674 	41643 	
678 	40895 	
682 	40030 	
686 	39185 	
690 	38203 	
694 	37319 	
698 	35923 	
702 	34200 	
706 	33258 	
710 	31137 	
714 	29767 	
718 	28559 	
722 	26824 	
726 	25508 	
730 	23989 	
734 	22685 	
738 	21313 	
742 	20105 	
746 	18896 	
750 	17749 	
754 	16480 	
758 	15471 	
762 	14504 	
766 	13751 	
770 	12819 	
774 	12043 	
778 	11272 	
782 	10840 	
786 	10012 	
790 	9365 	
794 	8735 	
798 	8333 	
802 	8028 	
806 	7347 	
810 	6923 	
814 	6731 	
818 	6128 	
822 	6187 	
826 	5559 	
830 	5304 	
834 	5143 	
838 	4963 	
842 	4676 	
846 	4698 	
850 	4454 	
854 	4235 	
858 	4082 	
862 	4058 	
866 	3898 	
870 	3717 	
874 	3652 	
878 	3581 	
882 	3567 	
886 	3506 	
890 	3519 	
894 	3481 	
898 	3516 	
902 	3375 	
906 	3312 	
910 	3397 	
914 	3322 	
918 	3467 	
922 	3426 	
926 	3429 	
