Channel;Counts
-99,5;86151
-98,5;87310
-97,5;87229
-96,5;89059
-95,5;90271
-94,5;90948
-93,5;92147
-92,5;93748
-91,5;94459
-90,5;96395
-89,5;97858
-88,5;98568
-87,5;99412
-86,5;100480
-85,5;101879
-84,5;103079
-83,5;104398
-82,5;105669
-81,5;107359
-80,5;109616
-79,5;110227
-78,5;112020
-77,5;112268
-76,5;114676
-75,5;115881
-74,5;117312
-73,5;118706
-72,5;120054
-71,5;122327
-70,5;124153
-69,5;124877
-68,5;127263
-67,5;127699
-66,5;129286
-65,5;131460
-64,5;133927
-63,5;135113
-62,5;136723
-61,5;138395
-60,5;139636
-59,5;141498
-58,5;143995
-57,5;145325
-56,5;147010
-55,5;149093
-54,5;151503
-53,5;152474
-52,5;154236
-51,5;156350
-50,5;158601
-49,5;160322
-48,5;162481
-47,5;164759
-46,5;166103
-45,5;168138
-44,5;170278
-43,5;172858
-42,5;174414
-41,5;175669
-40,5;178761
-39,5;180469
-38,5;182396
-37,5;184211
-36,5;186962
-35,5;189585
-34,5;190156
-33,5;192691
-32,5;195545
-31,5;197351
-30,5;199911
-29,5;203089
-28,5;204509
-27,5;206271
-26,5;209149
-25,5;210146
-24,5;213105
-23,5;215035
-22,5;217365
-21,5;219083
-20,5;221659
-19,5;224188
-18,5;226730
-17,5;229018
-16,5;231657
-15,5;233040
-14,5;235684
-13,5;237594
-12,5;240828
-11,5;242709
-10,5;245451
-9,5;247279
-8,5;250261
-7,5;252453
-6,5;254678
-5,5;256570
-4,5;259594
-3,5;260855
-2,5;263041
-1,5;265653
-0,5;268896
0,5;270205
1,5;272143
2,5;275313
3,5;277732
4,5;279466
5,5;281892
6,5;284283
7,5;286267
8,5;288583
9,5;289873
10,5;292391
11,5;294787
12,5;297384
13,5;299314
14,5;301587
15,5;303206
16,5;306231
17,5;308141
18,5;310262
19,5;311928
20,5;313986
21,5;316296
22,5;316827
23,5;320619
24,5;322510
25,5;323705
26,5;325420
27,5;327713
28,5;330523
29,5;331435
30,5;333137
31,5;335018
32,5;336603
33,5;337652
34,5;341016
35,5;342515
36,5;343706
37,5;344917
38,5;346973
39,5;348675
40,5;350181
41,5;353269
42,5;352436
43,5;354746
44,5;356093
45,5;358040
46,5;358523
47,5;360209
48,5;360813
49,5;362581
50,5;363420
51,5;365138
52,5;366458
53,5;366917
54,5;369566
55,5;369550
56,5;370821
57,5;370414
58,5;372280
59,5;372613
60,5;374136
61,5;374820
62,5;374760
63,5;376333
64,5;377181
65,5;377120
66,5;378128
67,5;378061
68,5;379241
69,5;379373
70,5;379116
71,5;380340
72,5;379620
73,5;380470
74,5;381043
75,5;382138
76,5;382264
77,5;383030
78,5;381236
79,5;381236
80,5;381494
81,5;381886
82,5;382557
83,5;382184
84,5;381025
85,5;381218
86,5;380948
87,5;380805
88,5;380706
89,5;380185
90,5;379120
91,5;378937
92,5;378540
93,5;379022
94,5;377529
95,5;376695
96,5;378276
97,5;375124
98,5;374397
99,5;373671
100,5;373385
101,5;372724
102,5;371491
103,5;369988
104,5;371199
105,5;368717
106,5;368277
107,5;365793
108,5;365634
109,5;364571
110,5;363454
111,5;362020
112,5;361646
113,5;360292
114,5;358114
115,5;357474
116,5;354813
117,5;353005
118,5;352523
119,5;350510
120,5;349191
121,5;347869
122,5;345232
123,5;344929
124,5;342576
125,5;341249
126,5;340004
127,5;336453
128,5;336991
129,5;334001
130,5;331388
131,5;330443
132,5;328318
133,5;326245
134,5;324193
135,5;322672
136,5;320762
137,5;317801
138,5;316593
139,5;315333
140,5;312138
141,5;310532
142,5;307798
143,5;305088
144,5;303697
145,5;302100
146,5;299479
147,5;297100
148,5;294708
149,5;292928
150,5;289908
151,5;287753
152,5;286200
153,5;283449
154,5;281599
155,5;278477
156,5;277646
157,5;273863
158,5;271201
159,5;269390
160,5;267704
161,5;265264
162,5;261926
163,5;260739
164,5;258088
165,5;255888
166,5;252958
167,5;250273
168,5;248322
169,5;246339
170,5;243955
171,5;241204
172,5;239535
173,5;235514
174,5;234789
175,5;230782
176,5;228772
177,5;226099
178,5;225064
179,5;221987
180,5;220155
181,5;217403
182,5;215136
183,5;212370
184,5;210068
185,5;207292
186,5;206247
187,5;202938
188,5;200547
189,5;198113
190,5;196670
191,5;193778
192,5;190945
193,5;188836
194,5;186657
195,5;183807
196,5;182421
197,5;179336
198,5;177882
199,5;175716
200,5;172936
201,5;170504
202,5;168755
203,5;166627
204,5;164915
205,5;161690
206,5;159867
207,5;158113
208,5;155599
209,5;153887
210,5;151235
211,5;148899
212,5;147464
213,5;144957
214,5;143631
215,5;141136
216,5;139004
217,5;137107
218,5;134934
219,5;132309
220,5;130868
221,5;128978
222,5;127047
223,5;125473
224,5;124077
225,5;121791
226,5;120118
227,5;117495
228,5;116344
229,5;114467
230,5;112025
231,5;110628
232,5;108634
233,5;107336
234,5;105883
235,5;104079
236,5;102755
237,5;100178
238,5;99240
239,5;97751
240,5;96150
241,5;93910
242,5;92894
243,5;92078
244,5;90544
245,5;88295
246,5;86566
247,5;85679
248,5;83893
249,5;82692
250,5;80527
251,5;79857
252,5;78650
253,5;76992
254,5;75758
255,5;74320
256,5;73273
257,5;71644
258,5;70492
259,5;69470
260,5;67642
261,5;66735
262,5;65492
263,5;64344
264,5;62995
265,5;62350
266,5;61079
267,5;60419
268,5;58905
269,5;57330
270,5;56684
271,5;55894
272,5;54981
273,5;53533
274,5;52416
275,5;51632
276,5;50855
277,5;49699
278,5;49031
279,5;48054
280,5;47221
281,5;46122
282,5;45382
283,5;44570
284,5;43526
285,5;42573
286,5;41730
287,5;41136
288,5;40611
289,5;39913
290,5;38788
291,5;38292
292,5;37464
293,5;36906
294,5;35915
295,5;35519
296,5;34850
297,5;33837
298,5;33215
299,5;32606
300,5;32389
301,5;31226
302,5;31087
303,5;30075
304,5;29675
305,5;28895
306,5;28398
307,5;27954
308,5;27363
309,5;26945
310,5;26364
311,5;25758
312,5;25050
313,5;24786
314,5;24299
315,5;23892
316,5;23385
317,5;22831
318,5;22903
319,5;22065
320,5;21627
321,5;21016
322,5;20835
323,5;20368
324,5;20124
325,5;19675
326,5;19508
327,5;18728
328,5;18247
329,5;18129
330,5;17740
331,5;17372
332,5;17158
333,5;16848
334,5;16411
335,5;16011
336,5;15567
337,5;15547
338,5;15135
339,5;14998
340,5;14665
341,5;14483
342,5;13933
343,5;13772
344,5;13581
345,5;13189
346,5;13010
347,5;12755
348,5;12497
349,5;12490
350,5;12057
351,5;11856
352,5;11543
353,5;11195
354,5;11076
355,5;11017
356,5;10747
357,5;10405
358,5;10478
359,5;10090
360,5;9973
361,5;9881
362,5;9497
363,5;9475
364,5;9268
365,5;9088
366,5;8909
367,5;8761
368,5;8416
369,5;8549
370,5;8363
371,5;7973
372,5;7956
373,5;7905
374,5;7726
375,5;7615
376,5;7363
377,5;7282
378,5;7030
379,5;7045
380,5;6880
381,5;6747
382,5;6737
383,5;6520
384,5;6376
385,5;6450
386,5;6165
387,5;6049
388,5;5925
389,5;6086
390,5;5623
391,5;5643
392,5;5602
393,5;5401
394,5;5307
395,5;5190
396,5;5218
397,5;5075
398,5;5111
399,5;4952
400,5;4859
401,5;4772
402,5;4513
403,5;4571
404,5;4538
405,5;4463
406,5;4363
407,5;4236
408,5;4228
409,5;4223
410,5;4076
411,5;4070
412,5;3904
413,5;3765
414,5;3823
415,5;3835
416,5;3638
417,5;3597
418,5;3604
419,5;3447
420,5;3418
421,5;3416
422,5;3281
423,5;3343
424,5;3177
425,5;3193
426,5;3219
427,5;3101
428,5;3023
429,5;2948
430,5;2853
431,5;2932
432,5;2715
433,5;2773
434,5;2701
435,5;2732
436,5;2636
437,5;2613
438,5;2491
439,5;2494
440,5;2510
441,5;2464
442,5;2359
443,5;2293
444,5;2401
445,5;2330
446,5;2300
447,5;2206
448,5;2188
449,5;2253
450,5;2092
451,5;2093
452,5;2064
453,5;2035
454,5;2018
455,5;1901
456,5;1869
457,5;1880
458,5;1898
459,5;1774
460,5;1812
461,5;1816
