Channel	On	Off
-98 	162	0
-94 	174	0
-90 	191	0
-86 	186	0
-82 	221	0
-78 	197	0
-74 	240	0
-70 	255	0
-66 	268	0
-62 	292	0
-58 	279	0
-54 	282	0
-50 	307	0
-46 	324	0
-42 	324	0
-38 	361	0
-34 	389	0
-30 	371	0
-26 	403	0
-22 	450	0
-18 	435	0
-14 	440	0
-10 	482	7
-6 	560	92
-2 	1060	748
2 	1800	1669
6 	626	101
10 	530	6
14 	554	1
18 	529	0
22 	575	2
26 	569	1
30 	639	3
34 	601	2
38 	612	1
42 	655	3
46 	607	1
50 	668	8
54 	613	6
58 	709	6
62 	653	13
66 	686	16
70 	641	11
74 	703	21
78 	742	36
82 	670	39
86 	744	50
90 	764	72
94 	776	84
98 	800	123
102 	786	117
106 	863	164
110 	883	215
114 	892	280
118 	977	361
122 	964	459
126 	1017	525
130 	1069	629
134 	1253	846
138 	1368	1053
142 	1440	1197
146 	1540	1545
150 	1767	1829
154 	1926	2213
158 	2227	2588
162 	2588	3164
166 	2805	3589
170 	3159	4476
174 	3594	5374
178 	4299	6207
182 	4872	7205
186 	5596	8406
190 	6535	9853
194 	7308	11324
198 	8272	12875
202 	9367	14856
206 	10633	16970
210 	12075	19096
214 	13670	21799
218 	15518	24586
222 	17231	27498
226 	19451	30846
230 	21791	34829
234 	24462	38747
238 	27077	42879
242 	30068	47506
246 	32918	52300
250 	36532	57190
254 	40168	63315
258 	44223	68270
262 	48567	75585
266 	52677	81974
270 	57277	88432
274 	62843	96315
278 	67782	103784
282 	73020	111605
286 	78636	119252
290 	84385	128469
294 	90475	136172
298 	95968	144625
302 	101294	152770
306 	107637	160267
310 	113055	168312
314 	117613	175650
318 	123035	181810
322 	127077	188444
326 	131633	193182
330 	134852	196773
334 	137268	200834
338 	138299	202571
342 	140648	203519
346 	139956	203806
350 	140035	203308
354 	138564	200942
358 	136573	197072
362 	134189	193508
366 	130704	187256
370 	126960	181873
374 	121940	176108
378 	117488	168032
382 	112964	161371
386 	106397	153593
390 	101596	145523
394 	95476	137006
398 	90530	129142
402 	85522	120872
406 	80092	113995
410 	74669	106406
414 	69866	99005
418 	64668	92220
422 	60287	85291
426 	56021	79460
430 	52421	74053
434 	48530	68062
438 	45054	63294
442 	41442	57974
446 	38307	53692
450 	35479	49923
454 	32697	45968
458 	30412	42353
462 	28090	38969
466 	25824	36423
470 	24183	33546
474 	22048	30845
478 	20611	28464
482 	19175	26476
486 	17633	24582
490 	16614	22983
494 	15689	21501
498 	14693	20278
