Thr mV;54 V;54.5 V;55 V;55.5 V;56 V;56.5 V;57 V
-1;47.1187;57.6807;66.874;77.018;85.184;94.3887;103.515
-2;47.2413;57.1987;67.8833;77.0013;85.4693;95.2113;103.599
-3;47.2127;57.5427;67.4013;77.2367;85.8607;95.2707;104.215
-4;47.3527;57.7833;67.062;77.0387;85.4767;95.174;104.767
-5;47.0913;57.2773;67.2787;77.4767;86.2753;94.9047;104.444
-6;47.264;57.7413;67.628;77.7347;86.3367;95.4287;104.404
-7;47.2493;57.6207;67.1427;77.332;85.9;95.4833;104.411
-8;47.064;57.544;67.7113;77.9687;86.5047;95.248;104.359
-9;42.0607;57.7693;67.092;77.61;85.8467;95.6533;104.735
-10;9.84267;57.7793;67.0027;77.8933;86.11;95.334;104.621
-11;0.856;56.9493;67.406;77.8413;85.7167;95.7587;104.394
-12;0.782;43.0687;67.6807;77.908;86.1353;95.4773;104.271
-13;0.772;6.08333;66.726;77.678;86.332;95.7647;104.621
-14;0.693333;1.52067;63.632;77.4387;85.8927;95.5953;104.872
-15;0.61;1.43667;27.102;77.766;86.0913;95.0173;104.624
-16;0.536667;1.43;3.13;76.1813;86.2273;95.756;104.492
-17;0.371333;1.392;2.44067;47.442;85.494;95.198;104.579
-18;0.355333;1.24867;2.40867;7.31067;85.958;94.99;104.708
-19;0.299333;1.13533;2.33333;4.098;62.368;94.752;104.598
-20;0.072;0.961333;2.25267;3.636;12.3213;95.028;104.366
-21;0.012;0.782667;2.20933;3.644;6.32733;71.686;104.397
-22;0.01;0.742;1.96867;3.58067;5.56267;17.744;103.857
-23;0.00733333;0.582667;1.80333;3.39467;5.04667;9.35467;78.036
-24;0.004;0.211333;1.58133;3.38;5.086;8.38733;20.7693
-25;0.00866667;0.0406667;1.34333;3.104;4.936;7.44467;12.9813
-26;0.004;0.0306667;1.20267;2.86667;4.916;6.95067;11.6373
-27;0.00466667;0.0286667;1.01933;2.64067;4.77867;6.81333;10.6673
-28;0.00266667;0.0233333;0.434667;2.34467;4.48333;6.80467;9.63667
-29;0.000666667;0.0246667;0.129333;2.02533;4.208;6.69933;9.38133
-30;0.000666667;0.016;0.0793333;1.876;4.09267;6.66067;9.046
-31;;0.0146667;0.066;1.51933;3.63867;6.31133;9.022
-32;;0.02;0.0766667;0.743333;3.288;6.07667;8.852
-33;;0.0113333;0.074;0.293333;2.95933;5.548;8.70133
-34;;0.00666667;0.0486667;0.202;2.61467;5.29467;8.27467
-35;;0.008;0.0506667;0.153333;2.168;4.89667;7.93467
-36;;0.00266667;0.0346667;0.149333;1.152;4.48;7.68133
-37;;0.00266667;0.0413333;0.131333;0.58;3.99533;7.27333
-38;;0.00133333;0.0353333;0.134667;0.422;3.63467;6.68533
-39;;0.00266667;0.0306667;0.106667;0.334;3.05067;6.50267
-40;;0.000666667;0.018;0.105333;0.289333;1.74333;5.85867
-41;;0.000666667;0.00933333;0.103333;0.276;1.116;5.28133
-42;;0.00133333;0.00266667;0.0933333;0.256;0.838;4.816
-43;;0.000666667;0.006;0.0806667;0.238667;0.594;4.01333
-44;;0.000666667;0.004;0.0593333;0.205333;0.55;2.55267
-45;;;0.00533333;0.0553333;0.221333;0.472;1.76933
-46;;;0.00133333;0.0386667;0.183333;0.465333;1.45333
-47;;;0.00466667;0.0273333;0.166;0.451333;1.10533
-48;;;0.00266667;0.0173333;0.139333;0.415333;0.866
-49;;;0.00266667;0.0113333;0.138;0.365333;0.837333
-50;;;0.002;0.0153333;0.12;0.363333;0.791333
-51;;;0.000666667;0.0126667;0.104;0.332667;0.733333
-52;;;0.000666667;0.00866667;0.0853333;0.302;0.712667
-53;;;0.000666667;0.0113333;0.0586667;0.274;0.674667
-54;;;;0.008;0.0453333;0.252667;0.621333
-55;;;;0.00333333;0.044;0.242667;0.612667
-56;;;;0.00933333;0.0306667;0.215333;0.53
-57;;;;0.004;0.0293333;0.162;0.511333
-58;;;;0.00266667;0.0226667;0.14;0.47
-59;;;;0.00133333;0.026;0.114;0.474
-60;;;;0.002;0.0173333;0.0853333;0.402
