Channel;Counts
181;2
183;0
185;3
187;1
189;2
191;7
193;4
195;11
197;10
199;10
201;18
203;20
205;29
207;21
209;26
211;25
213;35
215;31
217;26
219;22
221;24
223;29
225;38
227;28
229;31
231;32
233;28
235;33
237;23
239;17
241;20
243;23
245;13
247;6
249;10
251;13
253;7
255;4
257;9
259;7
261;4
263;1
265;0
267;1
269;3
271;3
273;0
275;0
277;2
279;1
281;0
283;0
285;0
287;2
289;1
291;0
293;0
295;0
297;0
299;0
301;1
303;2
305;0
307;0
309;0
311;0
313;1
315;0
317;1
319;0
321;0
323;0
325;0
327;0
329;2
331;0
333;0
335;0
337;0
339;0
341;2
343;0
345;0
347;0
349;0
351;0
353;0
355;1
357;0
359;1
361;1
363;2
365;0
367;0
369;1
371;0
373;1
375;1
377;1
379;1
381;2
383;2
385;1
387;4
389;1
391;1
393;2
395;4
397;7
399;7
401;7
403;14
405;5
407;10
409;18
411;21
413;23
415;24
417;28
419;40
421;48
423;56
425;44
427;65
429;63
431;75
433;66
435;76
437;83
439;90
441;99
443;97
445;87
447;97
449;92
451;71
453;95
455;81
457;66
459;94
461;75
463;53
465;60
467;64
469;51
471;34
473;26
475;30
477;24
479;23
481;21
483;17
485;11
487;4
489;9
491;11
493;7
495;5
497;4
499;6
501;10
503;5
505;4
507;4
509;3
511;1
513;2
515;6
517;4
519;1
521;6
523;2
525;4
527;3
529;5
531;4
533;2
535;0
537;1
539;4
541;1
543;8
545;3
547;3
549;5
551;2
553;3
555;3
557;6
559;3
561;2
563;6
565;3
567;1
569;6
571;1
573;4
575;1
577;1
579;2
581;3
583;5
585;8
587;2
589;0
591;5
593;2
595;2
597;2
599;4
601;2
603;8
605;10
607;3
609;12
611;8
613;13
615;11
617;16
619;14
621;23
623;28
625;31
627;34
629;54
631;40
633;63
635;93
637;91
639;114
641;111
643;137
645;130
647;145
649;169
651;157
653;201
655;203
657;218
659;218
661;235
663;216
665;226
667;222
669;200
671;201
673;189
675;193
677;160
679;157
681;146
683;141
685;116
687;113
689;100
691;88
693;72
695;70
697;55
699;48
701;37
703;41
705;34
707;38
709;27
711;30
713;17
715;18
717;21
719;16
721;21
723;13
725;16
727;11
729;17
731;10
733;12
735;12
737;10
739;18
741;12
743;20
745;15
747;10
749;18
751;11
753;9
755;12
757;17
759;6
761;8
763;12
765;14
767;10
769;6
771;13
773;13
775;11
777;12
779;6
781;8
783;9
785;15
787;12
789;15
791;11
793;8
795;10
797;9
799;7
801;5
803;8
805;10
807;13
809;10
811;9
813;10
815;4
817;8
819;9
821;16
823;19
825;19
827;28
829;20
831;22
833;29
835;30
837;39
839;41
841;57
843;64
845;80
847;91
849;96
851;117
853;138
855;150
857;150
859;187
861;194
863;206
865;213
867;263
869;266
871;287
873;312
875;281
877;318
879;348
881;346
883;405
885;357
887;365
889;346
891;317
893;330
895;274
897;321
899;284
901;249
903;233
905;211
907;180
909;180
911;173
913;140
915;114
917;104
919;126
921;89
923;98
925;88
927;62
929;43
931;52
933;42
935;47
937;38
939;37
941;35
943;36
945;34
947;37
949;38
951;28
953;27
955;28
957;33
959;34
961;30
963;30
965;39
967;28
969;24
971;33
973;35
975;33
977;33
979;31
981;32
983;25
985;25
987;19
989;31
991;23
993;18
995;23
997;20
999;23
1001;30
1003;24
1005;12
1007;18
1009;18
1011;18
1013;15
1015;27
1017;12
1019;22
1021;12
1023;24
1025;16
1027;28
1029;20
1031;13
1033;17
1035;15
1037;22
1039;25
1041;27
1043;27
1045;29
1047;39
1049;27
1051;45
1053;41
1055;43
1057;70
1059;95
1061;71
1063;88
1065;113
1067;146
1069;132
1071;151
1073;198
1075;188
1077;212
1079;219
1081;271
1083;320
1085;289
1087;377
1089;343
1091;369
1093;416
1095;416
1097;434
1099;425
1101;443
1103;438
1105;454
1107;494
1109;466
1111;465
1113;386
1115;425
1117;396
1119;372
1121;386
1123;340
1125;346
1127;281
1129;246
1131;234
1133;206
1135;179
1137;166
1139;180
1141;163
1143;138
1145;117
1147;106
1149;111
1151;99
1153;85
1155;79
1157;74
1159;75
1161;64
1163;59
1165;55
1167;63
1169;46
1171;58
1173;60
1175;48
1177;54
1179;40
1181;43
1183;52
1185;42
1187;54
1189;44
1191;47
1193;45
1195;64
1197;51
1199;39
1201;54
1203;36
1205;38
1207;44
1209;42
1211;38
1213;45
1215;36
1217;44
1219;49
1221;35
1223;27
1225;30
1227;33
1229;26
1231;42
1233;27
1235;44
1237;30
1239;22
1241;23
1243;36
1245;32
1247;33
1249;42
1251;29
1253;45
1255;37
1257;37
1259;49
1261;52
1263;46
1265;51
1267;58
1269;68
1271;90
1273;77
1275;78
1277;97
1279;104
1281;122
1283;129
1285;158
1287;167
1289;209
1291;207
1293;222
1295;263
1297;298
1299;284
1301;315
1303;334
1305;389
1307;400
1309;400
1311;437
1313;450
1315;459
1317;459
1319;482
1321;530
1323;506
1325;504
1327;479
1329;476
1331;492
1333;449
1335;494
1337;485
1339;432
1341;373
1343;381
1345;346
1347;357
1349;294
1351;278
1353;248
1355;245
1357;232
1359;193
1361;187
1363;180
1365;156
1367;145
1369;143
1371;100
1373;112
1375;107
1377;100
1379;95
1381;96
1383;99
1385;81
1387;82
1389;92
1391;70
1393;67
1395;82
1397;72
1399;70
1401;66
1403;63
1405;76
1407;50
1409;69
1411;63
1413;55
1415;57
1417;69
1419;54
1421;70
1423;71
1425;72
1427;52
1429;55
1431;44
1433;55
1435;60
1437;63
1439;67
1441;43
1443;57
1445;52
1447;40
1449;39
1451;68
1453;64
1455;40
1457;40
1459;45
1461;48
1463;53
1465;46
1467;37
1469;60
1471;50
1473;39
1475;48
1477;56
1479;62
1481;59
1483;77
1485;63
1487;72
1489;76
1491;90
1493;101
1495;119
1497;92
1499;119
1501;132
1503;158
1505;170
1507;212
1509;213
1511;231
1513;290
1515;273
1517;319
1519;283
1521;337
1523;364
1525;378
1527;431
1529;419
1531;437
1533;441
1535;478
1537;441
1539;459
1541;452
1543;496
1545;455
1547;483
1549;479
1551;469
1553;431
1555;430
1557;404
1559;369
1561;346
1563;355
1565;337
1567;342
1569;286
1571;303
1573;267
1575;250
1577;239
1579;230
1581;190
1583;195
1585;172
1587;164
1589;130
1591;150
1593;134
1595;127
1597;121
1599;103
1601;87
1603;97
1605;110
1607;126
1609;97
1611;86
1613;79
1615;85
1617;89
1619;90
1621;73
1623;93
1625;78
1627;91
1629;67
1631;87
1633;89
1635;71
1637;73
1639;76
1641;80
1643;54
1645;70
1647;75
1649;71
1651;70
1653;59
1655;87
1657;66
1659;67
1661;77
1663;60
1665;55
1667;53
1669;70
1671;70
1673;48
1675;63
1677;64
1679;67
1681;47
1683;58
1685;55
1687;60
1689;56
1691;71
1693;63
1695;54
1697;57
1699;61
1701;78
1703;89
1705;84
1707;84
1709;101
1711;89
1713;132
1715;125
1717;142
1719;143
1721;129
1723;153
1725;185
1727;193
1729;198
1731;233
1733;215
1735;261
1737;269
1739;281
1741;308
1743;327
1745;358
1747;351
1749;352
1751;361
1753;371
1755;414
1757;418
1759;384
1761;397
1763;399
1765;397
1767;401
1769;405
1771;354
1773;364
1775;391
1777;354
1779;340
1781;327
1783;317
1785;281
1787;287
1789;272
1791;248
1793;258
1795;231
1797;210
1799;193
1801;168
1803;160
1805;157
1807;154
1809;154
1811;146
