Channel;Counts
-249;0
-247;0
-245;0
-243;0
-241;0
-239;0
-237;0
-235;0
-233;0
-231;0
-229;0
-227;0
-225;0
-223;0
-221;0
-219;0
-217;0
-215;0
-213;0
-211;0
-209;0
-207;0
-205;0
-203;0
-201;0
-199;0
-197;0
-195;0
-193;0
-191;0
-189;0
-187;0
-185;0
-183;0
-181;0
-179;0
-177;0
-175;0
-173;0
-171;0
-169;0
-167;0
-165;0
-163;0
-161;0
-159;0
-157;0
-155;0
-153;0
-151;0
-149;0
-147;0
-145;0
-143;0
-141;0
-139;0
-137;0
-135;0
-133;0
-131;0
-129;0
-127;0
-125;0
-123;0
-121;0
-119;0
-117;0
-115;0
-113;0
-111;0
-109;0
-107;0
-105;0
-103;0
-101;0
-99;0
-97;0
-95;0
-93;0
-91;0
-89;0
-87;0
-85;0
-83;0
-81;0
-79;0
-77;0
-75;0
-73;0
-71;0
-69;0
-67;0
-65;0
-63;0
-61;0
-59;0
-57;0
-55;0
-53;0
-51;0
-49;0
-47;0
-45;0
-43;0
-41;0
-39;0
-37;0
-35;0
-33;0
-31;0
-29;1
-27;0
-25;0
-23;0
-21;0
-19;1
-17;0
-15;0
-13;2
-11;0
-9;0
-7;1
-5;2
-3;0
-1;0
1;2
3;0
5;1
7;1
9;0
11;1
13;1
15;0
17;0
19;0
21;0
23;0
25;0
27;0
29;0
31;0
33;0
35;0
37;0
39;0
41;0
43;0
45;0
47;0
49;0
51;0
53;0
55;0
57;0
59;0
61;0
63;0
65;0
67;0
69;0
71;0
73;0
75;0
77;0
79;0
81;0
83;0
85;0
87;0
89;0
91;0
93;0
95;0
97;0
99;0
101;0
103;0
105;0
107;0
109;0
111;0
113;0
115;0
117;0
119;0
121;0
123;0
125;0
127;0
129;0
131;0
133;0
135;0
137;0
139;0
141;0
143;0
145;0
147;0
149;0
151;0
153;0
155;0
157;0
159;0
161;0
163;0
165;0
167;0
169;0
171;0
173;0
175;0
177;0
179;0
181;0
183;0
185;0
187;0
189;0
191;0
193;0
195;0
197;0
199;0
201;0
203;1
205;0
207;0
209;0
211;0
213;0
215;0
217;0
219;0
221;0
223;0
225;0
227;0
229;0
231;0
233;1
235;2
237;1
239;1
241;0
243;1
245;0
247;2
249;0
251;2
253;0
255;2
257;0
259;1
261;7
263;6
265;4
267;2
269;2
271;3
273;3
275;0
277;1
279;1
281;2
283;3
285;1
287;2
289;1
291;2
293;1
295;0
297;0
299;0
301;0
303;1
305;0
307;0
309;1
311;0
313;0
315;0
317;0
319;0
321;0
323;0
325;0
327;0
329;0
331;0
333;0
335;1
337;0
339;0
341;0
343;1
345;0
347;0
349;0
351;0
353;1
355;0
357;0
359;0
361;0
363;0
365;0
367;0
369;0
371;0
373;0
375;1
377;0
379;0
381;0
383;0
385;0
387;0
389;0
391;0
393;0
395;0
397;0
399;0
401;0
403;0
405;0
407;0
409;0
411;0
413;0
415;0
417;0
419;0
421;0
423;0
425;0
427;0
429;0
431;0
433;0
435;0
437;0
439;0
441;0
443;0
445;0
447;1
449;0
451;0
453;0
455;0
457;0
459;0
461;0
463;0
465;0
467;0
469;1
471;0
473;0
475;0
477;0
479;0
481;0
483;0
485;0
487;0
489;1
491;1
493;2
495;1
497;1
499;2
501;3
503;5
505;0
507;4
509;2
511;5
513;6
515;5
517;8
519;6
521;8
523;10
525;9
527;18
529;13
531;12
533;12
535;19
537;11
539;10
541;14
543;10
545;8
547;7
549;14
551;3
553;12
555;3
557;5
559;8
561;3
563;4
565;4
567;7
569;3
571;0
573;0
575;1
577;2
579;0
581;0
583;2
585;2
587;0
589;1
591;0
593;1
595;1
597;0
599;0
601;0
603;1
605;2
607;0
609;1
611;0
613;1
615;1
617;0
619;1
621;0
623;1
625;0
627;0
629;2
631;1
633;0
635;2
637;0
639;1
641;0
643;0
645;2
647;0
649;0
651;0
653;0
655;1
657;0
659;0
661;0
663;0
665;1
667;2
669;0
671;0
673;0
675;0
677;0
679;0
681;0
683;0
685;0
687;1
689;0
691;1
693;1
695;0
697;1
699;0
701;0
703;0
705;0
707;0
709;0
711;1
713;0
715;1
717;0
719;0
721;0
723;1
725;2
727;1
729;0
731;0
733;0
735;0
737;0
739;1
741;0
743;0
745;2
747;0
749;2
751;2
753;2
755;1
757;3
759;6
761;3
763;3
765;8
767;6
769;11
771;12
773;9
775;6
777;15
779;14
781;14
783;14
785;22
787;29
789;29
791;40
793;43
795;35
797;38
799;34
801;28
803;24
805;29
807;33
809;23
811;28
813;33
815;33
817;36
819;31
821;21
823;12
825;22
827;24
829;27
831;18
833;12
835;9
837;18
839;12
841;9
843;5
845;6
847;10
849;5
851;6
853;3
855;3
857;4
859;2
861;0
863;2
865;5
867;5
869;2
871;5
873;0
875;5
877;3
879;3
881;4
883;5
885;0
887;0
889;3
891;3
893;2
895;1
897;2
899;2
901;2
903;3
905;4
907;3
909;2
911;5
913;3
915;1
917;3
919;1
921;1
923;4
925;1
927;1
929;1
931;3
933;4
935;3
937;0
939;3
941;1
943;3
945;0
947;4
949;2
951;1
953;3
955;0
957;0
959;3
961;2
963;0
965;4
967;4
969;1
971;1
973;1
975;1
977;2
979;0
981;2
983;3
985;0
987;2
989;0
991;2
993;5
995;2
997;1
999;6
1001;0
1003;1
1005;4
1007;1
1009;6
1011;1
1013;2
1015;5
1017;1
1019;2
1021;11
1023;10
1025;4
1027;7
1029;22
1031;19
1033;11
1035;10
1037;22
1039;20
1041;24
1043;30
1045;38
1047;42
1049;42
1051;49
1053;42
1055;55
1057;66
1059;60
1061;62
1063;58
1065;70
1067;75
1069;86
1071;69
1073;75
1075;81
1077;72
1079;69
1081;74
1083;71
1085;61
1087;61
1089;52
1091;44
1093;53
1095;49
1097;36
1099;34
1101;29
1103;23
1105;21
1107;19
1109;29
1111;23
1113;14
1115;18
1117;17
1119;12
1121;13
1123;10
1125;11
1127;12
1129;14
1131;13
1133;5
1135;13
1137;11
1139;13
1141;6
1143;12
1145;8
1147;11
1149;7
1151;7
1153;18
1155;4
1157;8
1159;10
1161;9
1163;4
1165;6
1167;11
1169;4
1171;6
1173;8
1175;6
1177;9
1179;7
1181;14
1183;11
1185;8
1187;6
1189;8
1191;12
1193;2
1195;9
1197;0
1199;4
1201;7
1203;5
1205;4
1207;2
1209;4
1211;6
1213;9
1215;6
1217;3
1219;4
1221;5
1223;6
1225;4
1227;9
1229;2
1231;2
1233;5
1235;4
1237;7
1239;5
1241;7
1243;5
1245;1
1247;3
1249;9
1251;5
1253;7
1255;8
1257;1
1259;4
1261;2
1263;4
1265;5
1267;4
1269;8
1271;6
1273;6
1275;7
1277;6
1279;11
