Channel;Counts
-249;0
-247;0
-245;0
-243;0
-241;0
-239;0
-237;0
-235;0
-233;0
-231;0
-229;0
-227;0
-225;0
-223;0
-221;0
-219;0
-217;0
-215;0
-213;0
-211;0
-209;0
-207;0
-205;0
-203;0
-201;0
-199;0
-197;0
-195;0
-193;0
-191;0
-189;0
-187;0
-185;0
-183;0
-181;0
-179;0
-177;0
-175;0
-173;0
-171;0
-169;0
-167;0
-165;0
-163;0
-161;0
-159;0
-157;0
-155;0
-153;0
-151;0
-149;0
-147;0
-145;0
-143;0
-141;0
-139;0
-137;0
-135;0
-133;0
-131;0
-129;0
-127;0
-125;0
-123;0
-121;0
-119;0
-117;0
-115;0
-113;0
-111;0
-109;0
-107;0
-105;0
-103;0
-101;0
-99;0
-97;0
-95;0
-93;0
-91;0
-89;0
-87;0
-85;0
-83;0
-81;0
-79;0
-77;0
-75;0
-73;0
-71;0
-69;0
-67;0
-65;0
-63;0
-61;0
-59;0
-57;0
-55;0
-53;0
-51;0
-49;0
-47;0
-45;0
-43;0
-41;0
-39;0
-37;0
-35;0
-33;0
-31;0
-29;0
-27;0
-25;0
-23;0
-21;0
-19;0
-17;0
-15;0
-13;0
-11;2
-9;0
-7;0
-5;0
-3;0
-1;0
1;1
3;1
5;0
7;1
9;1
11;0
13;0
15;0
17;0
19;0
21;0
23;0
25;0
27;0
29;0
31;0
33;0
35;0
37;0
39;0
41;0
43;0
45;0
47;0
49;0
51;0
53;0
55;0
57;0
59;0
61;0
63;0
65;0
67;0
69;0
71;0
73;0
75;0
77;0
79;0
81;0
83;0
85;0
87;0
89;0
91;0
93;0
95;0
97;0
99;0
101;0
103;0
105;0
107;0
109;0
111;0
113;0
115;0
117;0
119;0
121;0
123;0
125;0
127;0
129;0
131;0
133;0
135;0
137;0
139;0
141;0
143;0
145;0
147;0
149;0
151;0
153;0
155;0
157;0
159;0
161;0
163;0
165;0
167;0
169;0
171;0
173;0
175;0
177;0
179;0
181;0
183;0
185;0
187;0
189;0
191;0
193;0
195;0
197;0
199;0
201;0
203;0
205;0
207;0
209;0
211;0
213;0
215;0
217;0
219;0
221;0
223;0
225;0
227;0
229;0
231;0
233;0
235;0
237;0
239;0
241;0
243;0
245;0
247;0
249;0
251;0
253;0
255;0
257;0
259;0
261;0
263;0
265;0
267;0
269;0
271;0
273;0
275;0
277;0
279;0
281;0
283;0
285;0
287;0
289;0
291;0
293;0
295;0
297;0
299;0
301;0
303;0
305;0
307;0
309;0
311;0
313;0
315;0
317;0
319;0
321;0
323;0
325;0
327;0
329;0
331;0
333;0
335;0
337;0
339;0
341;0
343;1
345;1
347;0
349;1
351;0
353;0
355;1
357;0
359;0
361;0
363;1
365;0
367;1
369;1
371;0
373;1
375;2
377;2
379;0
381;0
383;1
385;1
387;0
389;1
391;0
393;0
395;0
397;0
399;0
401;1
403;0
405;0
407;1
409;0
411;0
413;0
415;0
417;0
419;0
421;0
423;0
425;0
427;0
429;0
431;0
433;0
435;0
437;0
439;0
441;0
443;0
445;0
447;0
449;0
451;0
453;0
455;0
457;0
459;0
461;0
463;0
465;0
467;0
469;0
471;0
473;0
475;0
477;0
479;0
481;0
483;0
485;0
487;0
489;0
491;0
493;0
495;0
497;0
499;0
501;0
503;0
505;0
507;0
509;0
511;0
513;1
515;0
517;0
519;0
521;0
523;0
525;0
527;0
529;0
531;0
533;0
535;0
537;0
539;0
541;0
543;0
545;0
547;0
549;1
551;0
553;0
555;0
557;0
559;0
561;0
563;0
565;0
567;0
569;0
571;0
573;0
575;0
577;1
579;0
581;0
583;0
585;0
587;0
589;0
591;0
593;0
595;0
597;0
599;0
601;0
603;0
605;0
607;0
609;1
611;0
613;0
615;0
617;0
619;0
621;0
623;0
625;0
627;0
629;0
631;0
633;0
635;0
637;0
639;0
641;0
643;0
645;0
647;0
649;0
651;0
653;0
655;0
657;0
659;0
661;0
663;0
665;0
667;0
669;0
671;0
673;0
675;0
677;0
679;0
681;0
683;0
685;0
687;0
689;0
691;0
693;0
695;0
697;0
699;0
701;0
703;0
705;0
707;0
709;0
711;0
713;0
715;0
717;1
719;0
721;2
723;1
725;4
727;2
729;1
731;3
733;2
735;1
737;2
739;1
741;3
743;1
745;1
747;4
749;1
751;3
753;4
755;3
757;4
759;6
761;6
763;1
765;2
767;2
769;1
771;3
773;1
775;1
777;2
779;3
781;0
783;0
785;3
787;0
789;0
791;1
793;2
795;2
797;2
799;1
801;0
803;1
805;1
807;0
809;0
811;0
813;0
815;0
817;0
819;0
821;1
823;0
825;0
827;0
829;0
831;0
833;0
835;1
837;0
839;0
841;0
843;1
845;1
847;0
849;1
851;0
853;0
855;0
857;0
859;0
861;0
863;0
865;0
867;0
869;0
871;0
873;0
875;0
877;1
879;1
881;0
883;0
885;0
887;1
889;1
891;0
893;0
895;0
897;0
899;0
901;0
903;1
905;0
907;1
909;0
911;0
913;0
915;0
917;0
919;0
921;0
923;0
925;0
927;1
929;1
931;0
933;0
935;0
937;0
939;0
941;0
943;0
945;0
947;0
949;0
951;0
953;0
955;1
957;1
959;0
961;1
963;0
965;0
967;1
969;0
971;0
973;0
975;0
977;0
979;0
981;0
983;0
985;1
987;2
989;0
991;0
993;0
995;0
997;0
999;0
1001;0
1003;0
1005;0
1007;0
1009;0
1011;0
1013;1
1015;0
1017;0
1019;0
1021;0
1023;0
1025;0
1027;0
1029;0
1031;0
1033;0
1035;0
1037;0
1039;0
1041;0
1043;0
1045;0
1047;0
1049;0
1051;0
1053;1
1055;0
1057;0
1059;0
1061;1
1063;0
1065;0
1067;0
1069;0
1071;0
1073;1
1075;0
1077;0
1079;2
1081;0
1083;2
1085;5
1087;1
1089;1
1091;5
1093;4
1095;2
1097;3
1099;2
1101;0
1103;0
1105;9
1107;5
1109;5
1111;8
1113;12
1115;3
1117;7
1119;8
1121;11
1123;3
1125;8
1127;2
1129;10
1131;6
1133;7
1135;8
1137;6
1139;12
1141;9
1143;8
1145;7
1147;9
1149;4
1151;8
1153;6
1155;2
1157;5
1159;2
1161;2
1163;3
1165;6
1167;5
1169;4
1171;2
1173;2
1175;2
1177;3
1179;5
1181;2
1183;2
1185;0
1187;2
1189;0
1191;2
1193;0
1195;2
1197;2
1199;2
1201;0
1203;1
1205;0
1207;1
1209;0
1211;0
1213;1
1215;3
1217;1
1219;1
1221;1
1223;2
1225;1
1227;4
1229;0
1231;0
1233;2
1235;2
1237;1
1239;1
1241;0
1243;3
1245;2
1247;1
1249;1
1251;1
1253;0
1255;1
1257;2
1259;2
1261;2
1263;0
1265;1
1267;1
1269;0
1271;1
1273;0
1275;5
1277;1
1279;1
