Channel;Counts
721;0
723;1
725;2
727;1
729;0
731;0
733;0
735;0
737;0
739;1
741;0
743;0
745;2
747;0
749;2
751;2
753;2
755;1
757;3
759;6
761;3
763;3
765;8
767;6
769;11
771;12
773;9
775;6
777;15
779;14
781;14
783;14
785;22
787;29
789;29
791;40
793;43
795;35
797;38
799;34
801;28
803;24
805;29
807;33
809;23
811;28
813;33
815;33
817;36
819;31
821;21
823;12
825;22
827;24
829;27
831;18
833;12
835;9
837;18
839;12
841;9
843;5
845;6
847;10
849;5
851;6
853;3
855;3
857;4
859;2
861;0
863;2
865;5
867;5
869;2
871;5
873;0
875;5
877;3
879;3
881;4
883;5
885;0
887;0
889;3
891;3
893;2
895;1
897;2
899;2
901;2
903;3
905;4
907;3
909;2
911;5
913;3
915;1
917;3
919;1
921;1
923;4
925;1
927;1
929;1
931;3
933;4
935;3
937;0
939;3
941;1
943;3
945;0
947;4
949;2
951;1
953;3
955;0
957;0
959;3
961;2
963;0
965;4
967;4
969;1
971;1
973;1
975;1
977;2
979;0
981;2
983;3
985;0
987;2
989;0
991;2
993;5
995;2
997;1
999;6
1001;0
1003;1
1005;4
1007;1
1009;6
1011;1
1013;2
1015;5
1017;1
1019;2
1021;11
1023;10
1025;4
1027;7
1029;22
1031;19
1033;11
1035;10
1037;22
1039;20
1041;24
1043;30
1045;38
1047;42
1049;42
1051;49
1053;42
1055;55
1057;66
1059;60
1061;62
1063;58
1065;70
1067;75
1069;86
1071;69
1073;75
1075;81
1077;72
1079;69
1081;74
1083;71
1085;61
1087;61
1089;52
1091;44
1093;53
1095;49
1097;36
1099;34
1101;29
1103;23
1105;21
1107;19
1109;29
1111;23
1113;14
1115;18
1117;17
1119;12
1121;13
1123;10
1125;11
1127;12
1129;14
1131;13
1133;5
1135;13
1137;11
1139;13
1141;6
1143;12
1145;8
1147;11
1149;7
1151;7
1153;18
1155;4
1157;8
1159;10
1161;9
1163;4
1165;6
1167;11
1169;4
1171;6
1173;8
1175;6
1177;9
1179;7
1181;14
1183;11
1185;8
1187;6
1189;8
1191;12
1193;2
1195;9
1197;0
1199;4
1201;7
1203;5
1205;4
1207;2
1209;4
1211;6
1213;9
1215;6
1217;3
1219;4
1221;5
1223;6
1225;4
1227;9
1229;2
1231;2
1233;5
1235;4
1237;7
1239;5
1241;7
1243;5
1245;1
1247;3
1249;9
1251;5
1253;7
1255;8
1257;1
1259;4
1261;2
1263;4
1265;5
1267;4
1269;8
1271;6
1273;6
1275;7
1277;6
1279;11
1281;11
1283;14
1285;14
1287;10
1289;13
1291;26
1293;20
1295;28
1297;24
1299;37
1301;34
1303;34
1305;47
1307;57
1309;76
1311;57
1313;80
1315;84
1317;82
1319;79
1321;88
1323;100
1325;96
1327;111
1329;111
1331;102
1333;137
1335;131
1337;117
1339;106
1341;136
1343;117
1345;119
1347;116
1349;112
1351;125
1353;105
1355;103
1357;111
1359;104
1361;85
1363;75
1365;64
1367;73
1369;65
1371;57
1373;58
1375;52
1377;55
1379;34
1381;46
1383;33
1385;34
1387;39
1389;30
1391;23
1393;31
1395;23
1397;20
1399;24
1401;24
1403;18
1405;21
1407;18
1409;24
1411;27
1413;24
1415;13
1417;17
1419;20
1421;13
1423;18
1425;20
1427;21
1429;20
1431;24
1433;15
1435;14
1437;22
1439;22
1441;21
1443;18
1445;7
1447;12
1449;23
1451;22
1453;15
1455;19
1457;16
1459;19
1461;16
1463;13
1465;12
1467;21
1469;24
1471;18
1473;19
1475;19
1477;14
1479;21
1481;16
1483;14
1485;14
1487;8
1489;12
1491;13
1493;13
1495;15
1497;16
1499;9
1501;22
1503;13
1505;11
1507;18
1509;8
1511;11
1513;16
1515;7
1517;9
1519;13
1521;7
1523;13
1525;7
1527;11
1529;11
1531;14
1533;8
1535;7
1537;11
1539;14
1541;15
1543;11
1545;17
1547;22
1549;18
1551;17
1553;25
1555;26
1557;39
1559;47
1561;48
1563;53
1565;53
1567;56
1569;73
1571;84
1573;84
1575;92
1577;102
1579;78
1581;107
1583;124
1585;111
1587;135
1589;135
1591;162
1593;161
1595;161
1597;155
1599;189
1601;173
1603;168
1605;169
1607;160
1609;168
1611;162
1613;174
1615;159
1617;145
1619;172
1621;140
1623;136
1625;120
1627;132
1629;129
1631;110
1633;121
1635;107
1637;98
1639;93
1641;86
1643;61
1645;72
1647;66
1649;65
1651;47
1653;56
1655;47
1657;52
1659;42
1661;40
1663;43
1665;43
1667;48
1669;38
1671;36
1673;41
1675;27
1677;42
1679;34
1681;37
1683;39
1685;29
1687;35
1689;35
1691;52
1693;45
1695;32
1697;35
1699;35
1701;39
1703;33
1705;32
1707;26
1709;35
1711;32
1713;37
1715;43
1717;33
1719;29
1721;28
1723;32
1725;27
1727;26
1729;33
1731;29
1733;27
1735;32
1737;28
1739;24
1741;27
1743;29
1745;27
1747;25
1749;21
1751;35
1753;23
1755;32
1757;30
1759;25
1761;27
1763;23
1765;22
1767;27
1769;30
1771;22
1773;20
1775;17
1777;15
1779;21
1781;25
1783;26
1785;18
1787;19
1789;27
1791;22
1793;21
1795;21
1797;29
1799;22
1801;26
1803;24
1805;28
1807;29
1809;23
1811;39
1813;39
1815;44
1817;60
1819;52
1821;50
1823;49
1825;60
1827;59
1829;72
1831;76
1833;88
1835;77
1837;100
1839;91
1841;124
1843;144
1845;131
1847;146
1849;158
1851;192
1853;203
1855;188
1857;188
1859;172
1861;200
1863;195
1865;221
1867;216
1869;213
1871;198
1873;222
1875;189
1877;206
1879;220
1881;209
1883;207
1885;188
1887;207
1889;185
1891;182
1893;185
1895;166
1897;149
1899;155
1901;163
1903;148
1905;127
1907;113
1909;113
1911;135
1913;115
1915;95
1917;90
1919;82
1921;83
1923;75
1925;66
1927;76
1929;67
1931;57
1933;65
1935;76
1937;50
1939;50
1941;41
1943;56
1945;48
1947;63
1949;56
1951;54
1953;51
1955;50
1957;60
1959;52
1961;61
1963;63
1965;60
1967;68
1969;51
1971;69
1973;47
1975;45
1977;59
1979;48
1981;53
1983;60
1985;47
1987;56
1989;47
1991;45
1993;44
1995;49
1997;45
1999;66
2001;45
2003;46
2005;44
2007;46
2009;45
2011;35
2013;36
2015;38
2017;51
2019;41
2021;37
2023;52
2025;41
2027;41
2029;28
2031;46
2033;31
2035;38
2037;33
2039;41
2041;39
2043;49
2045;33
2047;40
2049;32
2051;35
2053;33
2055;37
2057;41
2059;41
2061;36
2063;39
2065;41
2067;50
2069;40
2071;42
2073;40
2075;61
2077;67
2079;46
2081;58
2083;69
2085;72
2087;80
2089;82
2091;89
2093;98
2095;105
2097;113
2099;106
2101;130
2103;122
2105;145
2107;148
2109;155
2111;171
2113;173
2115;178
2117;194
2119;207
2121;212
2123;222
2125;212
2127;212
2129;233
2131;245
2133;204
2135;258
2137;237
2139;216
2141;221
2143;232
2145;230
2147;209
2149;236
2151;227
2153;209
2155;234
2157;182
2159;207
2161;166
2163;178
2165;203
2167;150
2169;164
2171;164
2173;138
2175;124
2177;124
2179;135
2181;118
2183;100
2185;106
2187;106
2189;108
2191;106
2193;92
2195;92
2197;83
2199;68
2201;72
2203;84
2205;80
2207;72
2209;85
2211;75
2213;73
2215;88
2217;82
2219;75
2221;70
2223;59
2225;70
2227;71
2229;59
2231;70
2233;78
2235;53
2237;74
2239;69
2241;71
2243;57
2245;71
2247;75
2249;70
2251;65
2253;56
2255;62
2257;73
2259;66
2261;64
2263;72
2265;58
2267;75
2269;61
2271;66
2273;63
2275;70
2277;67
2279;71
2281;47
2283;64
2285;57
2287;61
2289;47
2291;52
2293;52
2295;62
2297;52
2299;52
2301;54
2303;49
2305;45
2307;51
2309;49
2311;52
2313;46
2315;53
2317;52
2319;56
2321;49
2323;50
2325;49
2327;60
2329;51
2331;53
2333;70
2335;63
2337;69
2339;69
2341;58
2343;77
2345;71
2347;85
2349;95
2351;87
2353;112
2355;110
2357;128
2359;116
2361;117
2363;148
2365;131
2367;147
2369;171
2371;195
2373;180
2375;174
2377;189
2379;196
2381;220
2383;210
2385;192
2387;218
2389;246
2391;231
2393;260
2395;252
2397;266
2399;234
2401;262
2403;249
2405;266
2407;245
2409;258
2411;218
2413;215
2415;254
2417;226
2419;214
2421;226
2423;184
2425;203
2427;220
2429;183
2431;162
2433;177
2435;168
2437;160
2439;166
2441;161
2443;114
2445;139
2447;127
2449;132
2451;116
2453;114
2455;120
2457;146
2459;96
2461;108
2463;111
2465;82
2467;98
2469;103
2471;100
2473;90
2475;92
2477;88
2479;85
2481;89
2483;89
2485;98
2487;82
2489;90
2491;87
2493;86
2495;77
2497;86
2499;69
2501;80
2503;80
2505;83
2507;80
2509;75
2511;104
2513;77
2515;77
2517;80
2519;73
2521;77
2523;73
2525;93
2527;80
2529;81
2531;78
2533;59
2535;87
2537;83
2539;87
2541;73
2543;69
2545;57
2547;68
2549;63
2551;82
2553;67
2555;67
2557;72
2559;58
2561;62
2563;74
2565;62
2567;62
2569;75
2571;53
2573;58
2575;50
2577;75
2579;56
2581;56
2583;73
2585;66
2587;65
2589;72
2591;77
2593;74
2595;72
2597;62
2599;67
2601;75
2603;94
2605;78
2607;89
2609;86
2611;101
2613;93
2615;107
2617;96
2619;100
2621;114
2623;98
2625;126
2627;141
2629;152
2631;134
2633;184
2635;164
2637;187
2639;209
2641;214
2643;201
2645;200
2647;196
2649;217
2651;199
2653;215
2655;243
2657;219
2659;211
2661;206
2663;227
2665;219
2667;250
2669;211
2671;210
2673;218
2675;204
2677;222
2679;185
2681;229
2683;216
2685;207
2687;203
2689;184
2691;186
2693;156
2695;170
2697;170
2699;169
2701;186
2703;151
2705;163
2707;147
2709;124
2711;138
2713;117
2715;120
2717;128
2719;111
2721;128
2723;102
2725;87
2727;98
2729;104
2731;82
2733;136
2735;97
2737;105
2739;122
2741;76
2743;101
2745;107
2747;111
2749;94
2751;91
2753;90
2755;92
2757;76
2759;77
2761;97
2763;110
2765;87
2767;86
2769;94
2771;90
2773;81
2775;87
2777;80
2779;82
2781;70
2783;90
2785;78
2787;111
2789;75
2791;69
2793;77
2795;76
2797;79
2799;74
2801;72
2803;84
2805;71
2807;74
2809;70
2811;59
2813;89
2815;67
2817;71
2819;75
2821;69
2823;80
2825;68
2827;57
2829;83
2831;67
2833;54
2835;63
2837;66
2839;81
2841;67
2843;51
2845;69
2847;63
2849;64
2851;69
2853;59
2855;67
2857;71
2859;68
2861;80
2863;85
2865;74
2867;87
2869;106
2871;102
2873;104
2875;89
2877;97
2879;117
2881;111
2883;117
2885;120
2887;111
2889;113
2891;125
2893;143
2895;134
2897;158
2899;156
2901;159
2903;154
2905;168
2907;194
2909;198
2911;167
2913;184
2915;184
2917;177
2919;187
2921;188
2923;217
2925;198
2927;185
2929;193
2931;189
2933;183
2935;199
2937;204
2939;183
2941;193
2943;190
2945;195
2947;185
2949;192
2951;165
2953;173
2955;145
2957;161
2959;153
2961;125
2963;165
2965;133
2967;135
2969;134
2971;131
2973;127
2975;140
2977;129
2979;118
2981;108
2983;128
2985;118
2987;106
2989;99
2991;106
2993;103
2995;101
2997;104
2999;91
3001;88
3003;85
3005;75
3007;79
3009;77
3011;88
3013;111
3015;74
3017;88
3019;95
3021;92
3023;74
3025;76
3027;84
3029;97
3031;94
3033;79
3035;100
3037;70
3039;99
