Channel;Counts
845;0
847;0
849;0
851;0
853;0
855;1
857;1
859;0
861;1
863;1
865;0
867;2
869;1
871;3
873;2
875;4
877;8
879;5
881;5
883;9
885;7
887;10
889;14
891;12
893;13
895;19
897;19
899;21
901;23
903;15
905;16
907;17
909;29
911;19
913;16
915;15
917;34
919;18
921;19
923;20
925;11
927;27
929;15
931;17
933;12
935;14
937;15
939;11
941;8
943;7
945;7
947;7
949;10
951;3
953;4
955;3
957;4
959;10
961;2
963;5
965;3
967;4
969;2
971;3
973;4
975;0
977;2
979;2
981;2
983;2
985;3
987;2
989;3
991;1
993;2
995;2
997;2
999;3
1001;4
1003;5
1005;3
1007;1
1009;2
1011;2
1013;1
1015;4
1017;0
1019;4
1021;1
1023;3
1025;2
1027;3
1029;2
1031;6
1033;1
1035;0
1037;0
1039;4
1041;1
1043;2
1045;2
1047;2
1049;3
1051;2
1053;0
1055;3
1057;0
1059;1
1061;3
1063;1
1065;2
1067;1
1069;5
1071;0
1073;2
1075;3
1077;1
1079;1
1081;2
1083;1
1085;0
1087;0
1089;0
1091;1
1093;2
1095;1
1097;1
1099;2
1101;0
1103;2
1105;0
1107;2
1109;3
1111;3
1113;3
1115;2
1117;2
1119;1
1121;3
1123;0
1125;2
1127;6
1129;0
1131;0
1133;2
1135;0
1137;1
1139;3
1141;2
1143;3
1145;2
1147;1
1149;0
1151;1
1153;3
1155;1
1157;3
1159;1
1161;2
1163;5
1165;1
1167;5
1169;4
1171;2
1173;5
1175;5
1177;6
1179;16
1181;8
1183;12
1185;22
1187;23
1189;25
1191;30
1193;22
1195;31
1197;29
1199;28
1201;36
1203;37
1205;38
1207;39
1209;45
1211;35
1213;36
1215;44
1217;49
1219;32
1221;46
1223;45
1225;39
1227;45
1229;32
1231;52
1233;38
1235;38
1237;41
1239;23
1241;29
1243;36
1245;28
1247;26
1249;27
1251;15
1253;14
1255;15
1257;15
1259;7
1261;7
1263;15
1265;9
1267;12
1269;8
1271;5
1273;9
1275;10
1277;7
1279;7
1281;6
1283;8
1285;9
1287;6
1289;9
1291;4
1293;10
1295;8
1297;4
1299;11
1301;9
1303;9
1305;4
1307;11
1309;5
1311;6
1313;6
1315;6
1317;10
1319;10
1321;9
1323;7
1325;4
1327;7
1329;2
1331;11
1333;7
1335;10
1337;6
1339;5
1341;5
1343;7
1345;2
1347;11
1349;5
1351;9
1353;3
1355;2
1357;0
1359;12
1361;6
1363;4
1365;4
1367;4
1369;3
1371;5
1373;9
1375;6
1377;6
1379;0
1381;4
1383;3
1385;10
1387;4
1389;10
1391;4
1393;2
1395;2
1397;3
1399;4
1401;5
1403;5
1405;6
1407;4
1409;3
1411;4
1413;1
1415;3
1417;5
1419;3
1421;2
1423;6
1425;2
1427;4
1429;4
1431;3
1433;1
1435;2
1437;4
1439;3
1441;7
1443;3
1445;4
1447;3
1449;5
1451;6
1453;5
1455;3
1457;5
1459;6
1461;8
1463;3
1465;6
1467;6
1469;7
1471;9
1473;10
1475;11
1477;13
1479;19
1481;17
1483;26
1485;27
1487;31
1489;35
1491;31
1493;40
1495;46
1497;50
1499;46
1501;61
1503;49
1505;48
1507;53
1509;61
1511;56
1513;81
1515;80
1517;80
1519;76
1521;90
1523;83
1525;76
1527;74
1529;79
1531;69
1533;75
1535;77
1537;65
1539;63
1541;52
1543;77
1545;66
1547;44
1549;50
1551;48
1553;42
1555;38
1557;38
1559;37
1561;33
1563;26
1565;25
1567;32
1569;25
1571;19
1573;18
1575;20
1577;26
1579;21
1581;21
1583;12
1585;13
1587;18
1589;19
1591;17
1593;24
1595;21
1597;19
1599;12
1601;13
1603;19
1605;15
1607;11
1609;17
1611;15
1613;12
1615;22
1617;19
1619;16
1621;12
1623;11
1625;14
1627;14
1629;14
1631;12
1633;14
1635;8
1637;13
1639;25
1641;19
1643;10
1645;19
1647;13
1649;15
1651;14
1653;15
1655;22
1657;20
1659;15
1661;16
1663;14
1665;9
1667;14
1669;17
1671;13
1673;11
1675;11
1677;15
1679;13
1681;13
1683;16
1685;7
1687;16
1689;14
1691;11
1693;13
1695;21
1697;10
1699;12
1701;14
1703;11
1705;13
1707;9
1709;8
1711;14
1713;12
1715;8
1717;9
1719;11
1721;8
1723;7
1725;13
1727;13
1729;10
1731;20
1733;5
1735;7
1737;10
1739;7
1741;14
1743;6
1745;6
1747;7
1749;9
1751;8
1753;6
1755;4
1757;6
1759;15
1761;9
1763;14
1765;11
1767;13
1769;23
1771;15
1773;13
1775;26
1777;24
1779;27
1781;25
1783;29
1785;36
1787;38
1789;43
1791;44
1793;57
1795;57
1797;71
1799;69
1801;77
1803;88
1805;78
1807;78
1809;84
1811;101
1813;93
1815;120
1817;109
1819;106
1821;117
1823;110
1825;100
1827;109
1829;114
1831;109
1833;133
1835;111
1837;115
1839;112
1841;103
1843;110
1845;93
1847;129
1849;105
1851;86
1853;87
1855;79
1857;63
1859;74
1861;56
1863;59
1865;47
1867;61
1869;58
1871;54
1873;42
1875;31
1877;43
1879;38
1881;30
1883;40
1885;31
1887;31
1889;38
1891;29
1893;36
1895;34
1897;29
1899;26
1901;40
1903;35
1905;34
1907;26
1909;32
1911;24
1913;24
1915;35
1917;29
1919;30
1921;30
1923;24
1925;41
1927;26
1929;27
1931;37
1933;30
1935;26
1937;26
1939;20
1941;29
1943;16
1945;25
1947;27
1949;29
1951;23
1953;30
1955;19
1957;28
1959;29
1961;33
1963;29
1965;26
1967;26
1969;14
1971;27
1973;24
1975;25
1977;27
1979;28
1981;21
1983;26
1985;17
1987;19
1989;23
1991;24
1993;17
1995;30
1997;21
1999;18
2001;23
2003;29
2005;24
2007;21
2009;19
2011;17
2013;14
2015;19
2017;20
2019;15
2021;19
2023;12
2025;18
2027;20
2029;17
2031;19
2033;21
2035;24
2037;24
2039;20
2041;18
2043;18
2045;20
2047;15
2049;17
2051;23
2053;23
2055;19
2057;28
2059;26
2061;25
2063;24
2065;21
2067;25
2069;31
2071;37
2073;46
2075;27
2077;41
2079;51
2081;49
2083;39
2085;56
2087;63
2089;67
2091;85
2093;78
2095;97
2097;85
2099;107
2101;97
2103;123
2105;123
2107;102
2109;122
2111;108
2113;119
2115;113
2117;127
2119;139
2121;152
2123;155
2125;117
2127;152
2129;150
2131;140
2133;156
2135;139
2137;138
2139;139
2141;168
2143;129
2145;128
2147;117
2149;147
2151;128
2153;111
2155;102
2157;92
2159;83
2161;91
2163;95
2165;90
2167;80
2169;84
2171;77
2173;70
2175;62
2177;58
2179;51
2181;60
2183;67
2185;52
2187;58
2189;54
2191;57
2193;49
2195;43
2197;50
2199;48
2201;51
2203;46
2205;58
2207;55
2209;46
2211;58
2213;52
2215;47
2217;59
2219;58
2221;51
2223;47
2225;47
2227;54
2229;56
2231;40
2233;57
2235;36
2237;44
2239;43
2241;50
2243;51
2245;51
2247;39
2249;61
2251;33
2253;49
2255;45
2257;35
2259;41
2261;42
2263;52
2265;33
2267;45
2269;41
2271;34
2273;42
2275;35
2277;27
2279;44
2281;29
2283;35
2285;33
2287;39
2289;43
2291;22
2293;44
2295;43
2297;35
2299;28
2301;35
2303;36
2305;36
2307;52
2309;40
2311;31
2313;29
2315;33
2317;23
2319;34
2321;31
2323;39
2325;35
2327;34
2329;32
2331;37
2333;33
2335;34
2337;23
2339;39
2341;32
2343;26
2345;34
2347;35
2349;27
2351;35
2353;28
2355;25
2357;41
2359;29
2361;35
2363;34
2365;57
2367;42
2369;51
2371;47
2373;58
2375;57
2377;59
2379;60
2381;74
2383;80
2385;75
2387;71
