Channel;Counts
-90;11
-70;19
-50;30
-30;56
-10;77
10;164
30;245
50;354
70;512
90;667
110;795
130;991
150;1160
170;1322
190;1451
210;1511
230;1529
250;1529
270;1582
290;1520
310;1363
330;1396
350;1269
370;1252
390;1170
410;1059
430;1069
450;1072
470;1021
490;932
510;881
530;855
550;842
570;720
590;691
610;706
630;677
650;645
670;612
690;591
710;534
730;532
750;549
770;458
790;467
810;408
830;391
850;393
870;382
890;347
910;324
930;311
950;304
970;274
990;271
1010;271
1030;241
1050;217
1070;189
1090;192
1110;184
1130;181
1150;163
1170;161
1190;157
1210;158
1230;149
1250;139
1270;124
1290;117
1310;109
1330;127
1350;103
1370;96
1390;85
1410;92
1430;75
1450;77
1470;89
1490;95
1510;92
1530;74
1550;78
1570;97
1590;72
1610;83
1630;65
1650;74
1670;78
1690;58
1710;62
1730;63
1750;72
1770;69
1790;75
1810;73
1830;77
1850;73
1870;74
1890;60
1910;75
1930;66
1950;65
1970;73
1990;50
2010;59
2030;49
2050;53
2070;49
2090;58
2110;38
2130;35
2150;48
2170;36
2190;36
2210;44
2230;35
2250;21
2270;43
2290;36
2310;31
2330;25
2350;25
2370;30
2390;27
2410;21
2430;22
2450;32
2470;37
2490;30
2510;23
2530;17
2550;22
2570;22
2590;23
2610;15
2630;19
2650;12
2670;23
2690;19
2710;12
2730;22
2750;14
2770;19
2790;25
2810;17
2830;14
2850;10
2870;21
2890;22
2910;15
2930;15
2950;20
2970;14
2990;20
3010;19
3030;17
3050;12
3070;18
3090;11
3110;13
3130;14
3150;17
3170;19
3190;15
3210;11
3230;10
3250;16
3270;10
3290;16
3310;14
3330;16
3350;15
3370;10
3390;13
3410;10
3430;17
3450;11
3470;15
3490;17
3510;11
3530;9
3550;6
3570;17
3590;16
3610;14
3630;8
3650;16
3670;11
3690;13
3710;12
3730;13
3750;11
3770;11
3790;7
3810;11
3830;11
3850;10
3870;9
3890;14
3910;11
3930;12
3950;9
3970;9
3990;7
