Channel;Counts
-90;0
-70;3
-50;6
-30;10
-10;18
10;37
30;53
50;73
70;109
90;144
110;147
130;146
150;148
170;165
190;161
210;158
230;146
250;163
270;170
290;192
310;185
330;184
350;205
370;220
390;206
410;222
430;227
450;236
470;241
490;277
510;272
530;274
550;315
570;312
590;299
610;318
630;384
650;358
670;382
690;386
710;400
730;440
750;481
770;462
790;459
810;480
830;517
850;531
870;563
890;551
910;606
930;677
950;683
970;718
990;780
1010;846
1030;813
1050;905
1070;918
1090;1007
1110;1063
1130;989
1150;1118
1170;1137
1190;1110
1210;1170
1230;1128
1250;1194
1270;1178
1290;1185
1310;1173
1330;1234
1350;1160
1370;1272
1390;1245
1410;1242
1430;1247
1450;1199
1470;1263
1490;1238
1510;1290
1530;1297
1550;1249
1570;1220
1590;1213
1610;1237
1630;1244
1650;1278
1670;1222
1690;1170
1710;1196
1730;1234
1750;1218
1770;1205
1790;1312
1810;1220
1830;1223
1850;1170
1870;1214
1890;1164
1910;1179
1930;1168
1950;1122
1970;1215
1990;1157
2010;1168
2030;1162
2050;1168
2070;1164
2090;1185
2110;1109
2130;1154
2150;1151
2170;1098
2190;1168
2210;1138
2230;1141
2250;1141
2270;1175
2290;1138
2310;1182
2330;1191
2350;1102
2370;1113
2390;1183
2410;1219
2430;1134
2450;1125
2470;1142
2490;1181
2510;1199
2530;1106
2550;1163
2570;1088
2590;1104
2610;1175
2630;1194
2650;1176
2670;1097
2690;1144
2710;1178
2730;1234
2750;1195
2770;1147
2790;1168
2810;1233
2830;1285
2850;1196
2870;1294
2890;1367
2910;1280
2930;1364
2950;1381
2970;1367
2990;1380
3010;1433
3030;1484
3050;1469
3070;1554
3090;1545
3110;1650
3130;1685
3150;1648
3170;1714
3190;1795
3210;1831
3230;1852
3250;1780
3270;1823
3290;1887
3310;1953
3330;2043
3350;2054
3370;2164
3390;2129
3410;2101
3430;2134
3450;2121
3470;2229
3490;2246
3510;2218
3530;2344
3550;2358
3570;2365
3590;2417
3610;2387
3630;2502
3650;2573
3670;2518
3690;2638
3710;2619
3730;2685
3750;2624
3770;2752
3790;2693
3810;2832
3830;2744
3850;2816
3870;2902
3890;2788
3910;2934
3930;2882
3950;2873
3970;2943
3990;2928
4010;3028
4030;2982
4050;2977
4070;2973
4090;2949
4110;2982
4130;2974
4150;3027
4170;3000
4190;2997
4210;2996
4230;2999
4250;2931
4270;3047
4290;3035
4310;2963
4330;3043
4350;3035
4370;3046
4390;3054
4410;3157
4430;3069
4450;2994
4470;3063
4490;3046
4510;3060
4530;3116
4550;3065
4570;3097
4590;3062
4610;3135
4630;3147
4650;3049
4670;3055
4690;3118
4710;3106
4730;3086
4750;3033
4770;3001
4790;3066
4810;2961
4830;2925
4850;2914
4870;3080
4890;3043
4910;3016
4930;2951
4950;3082
4970;3072
4990;2941
5010;3010
5030;3025
5050;2993
5070;2918
5090;3004
5110;2934
5130;3026
5150;3002
5170;2931
5190;2920
5210;2893
5230;2974
5250;2953
5270;2985
5290;2925
5310;2814
5330;2855
5350;2838
5370;2933
5390;2793
5410;2832
5430;2789
5450;2869
5470;2757
5490;2784
5510;2769
5530;2771
5550;2696
5570;2769
5590;2743
5610;2727
5630;2852
5650;2701
5670;2741
5690;2690
5710;2807
5730;2650
5750;2770
5770;2649
5790;2787
5810;2767
5830;2629
5850;2637
5870;2677
5890;2666
5910;2647
5930;2733
5950;2806
5970;2670
5990;2747
6010;2631
6030;2565
6050;2595
6070;2609
6090;2655
6110;2559
6130;2697
6150;2646
6170;2680
6190;2625
6210;2705
6230;2646
6250;2673
6270;2723
6290;2598
6310;2740
6330;2708
6350;2636
6370;2716
6390;2721
6410;2661
6430;2684
6450;2662
6470;2568
6490;2711
6510;2717
6530;2689
6550;2571
6570;2720
6590;2676
6610;2670
6630;2711
6650;2705
6670;2622
6690;2678
6710;2662
6730;2530
6750;2608
6770;2661
6790;2670
6810;2653
6830;2682
6850;2725
6870;2600
6890;2589
6910;2580
6930;2653
6950;2589
6970;2651
6990;2628
7010;2637
7030;2671
7050;2491
7070;2526
7090;2572
7110;2524
7130;2628
7150;2582
7170;2591
7190;2491
7210;2583
7230;2545
7250;2577
7270;2519
7290;2622
7310;2486
7330;2481
7350;2508
7370;2500
7390;2421
7410;2441
7430;2564
7450;2380
7470;2389
7490;2433
7510;2346
7530;2403
7550;2404
7570;2337
7590;2386
7610;2385
7630;2256
7650;2210
7670;2350
7690;2341
7710;2308
7730;2222
7750;2190
7770;2260
7790;2160
