Channel;Counts
-90;59
-70;42
-50;72
-30;53
-10;51
10;56
30;44
50;55
70;40
90;51
110;54
130;34
150;45
170;57
190;70
210;60
230;63
250;96
270;102
290;93
310;107
330;111
350;107
370;132
390;177
410;159
430;173
450;183
470;197
490;209
510;235
530;236
550;228
570;245
590;257
610;273
630;300
650;318
670;312
690;312
710;328
730;351
750;391
770;366
790;338
810;395
830;392
850;374
870;419
890;398
910;382
930;456
950;473
970;448
990;452
1010;478
1030;532
1050;530
1070;528
1090;534
1110;503
1130;505
1150;568
1170;555
1190;593
1210;617
1230;611
1250;597
1270;684
1290;657
1310;736
1330;720
1350;722
1370;827
1390;818
1410;786
1430;879
1450;907
1470;870
1490;882
1510;928
1530;982
1550;988
1570;1038
1590;1087
1610;1124
1630;1167
1650;1162
1670;1203
1690;1221
1710;1279
1730;1268
1750;1278
1770;1364
1790;1332
1810;1345
1830;1434
1850;1417
1870;1431
1890;1450
1910;1496
1930;1564
1950;1559
1970;1662
1990;1646
2010;1613
2030;1692
2050;1673
2070;1637
2090;1637
2110;1707
2130;1683
2150;1651
2170;1658
2190;1725
2210;1778
2230;1690
2250;1794
2270;1748
2290;1672
2310;1749
2330;1684
2350;1667
2370;1719
2390;1716
2410;1737
2430;1713
2450;1678
2470;1660
2490;1711
2510;1707
2530;1664
2550;1652
2570;1611
2590;1648
2610;1597
2630;1610
2650;1636
2670;1574
2690;1509
2710;1561
2730;1496
2750;1494
2770;1532
2790;1476
2810;1521
2830;1476
2850;1537
2870;1512
2890;1370
2910;1434
2930;1490
2950;1457
2970;1367
2990;1388
3010;1328
3030;1419
3050;1378
3070;1344
3090;1326
3110;1281
3130;1312
3150;1300
3170;1322
3190;1319
3210;1342
3230;1290
3250;1176
3270;1244
3290;1211
3310;1184
3330;1188
3350;1183
3370;1106
3390;1117
3410;1123
3430;1150
3450;1075
3470;1031
3490;1042
3510;1012
3530;1042
3550;1069
3570;1016
3590;973
3610;1026
3630;1013
3650;985
3670;953
3690;904
3710;878
3730;902
3750;885
3770;910
3790;903
3810;851
3830;862
3850;904
3870;808
3890;882
3910;810
3930;793
3950;815
3970;805
3990;799
4010;711
4030;804
4050;742
4070;689
4090;733
4110;672
4130;731
4150;715
4170;628
4190;681
4210;674
4230;691
4250;638
4270;575
4290;641
4310;587
4330;590
4350;625
4370;584
4390;650
4410;599
4430;607
4450;581
4470;600
4490;605
4510;568
4530;583
4550;540
4570;554
4590;497
4610;560
4630;584
4650;481
4670;549
4690;536
4710;473
4730;505
4750;463
4770;475
4790;482
4810;444
4830;481
4850;463
4870;476
4890;415
4910;428
4930;432
4950;421
4970;423
4990;435
5010;428
5030;443
5050;398
5070;396
5090;356
5110;376
5130;397
5150;397
5170;380
5190;377
5210;337
5230;359
5250;380
5270;358
5290;332
5310;364
5330;385
5350;357
5370;355
5390;344
5410;306
5430;373
5450;350
5470;337
5490;318
5510;316
5530;328
5550;300
5570;331
5590;309
5610;280
5630;270
5650;329
5670;280
5690;281
5710;289
5730;259
5750;262
5770;266
5790;278
5810;268
5830;300
5850;276
5870;264
5890;275
5910;254
5930;238
5950;249
5970;250
5990;261
6010;235
6030;218
6050;249
6070;245
6090;217
6110;239
6130;210
6150;216
6170;233
6190;217
6210;185
6230;207
6250;225
6270;188
6290;189
6310;209
6330;204
6350;218
6370;227
6390;192
6410;200
6430;200
6450;187
6470;191
6490;176
6510;163
6530;158
6550;169
6570;162
6590;200
6610;144
6630;149
6650;158
6670;166
6690;149
6710;154
6730;155
6750;154
6770;162
6790;144
6810;149
6830;128
6850;144
6870;164
6890;152
6910;153
6930;152
6950;139
6970;139
6990;123
7010;124
7030;153
7050;144
7070;122
7090;128
7110;138
7130;126
7150;120
7170;141
7190;111
7210;130
7230;115
7250;140
7270;113
7290;109
7310;115
7330;140
7350;107
7370;119
7390;124
7410;126
7430;99
7450;89
7470;111
7490;105
7510;97
7530;106
7550;118
7570;102
7590;105
7610;99
7630;101
7650;106
7670;96
7690;89
7710;83
7730;104
7750;92
7770;96
7790;103
7810;108
7830;87
7850;121
7870;103
7890;96
7910;82
7930;105
7950;81
7970;98
7990;87
8010;89
8030;97
8050;75
8070;85
8090;81
8110;82
8130;79
8150;94
8170;76
8190;84
8210;85
8230;72
8250;81
8270;84
8290;79
8310;67
8330;76
8350;81
8370;75
8390;75
8410;89
8430;74
8450;75
8470;65
8490;83
8510;63
8530;73
8550;55
8570;71
8590;66
8610;72
8630;75
8650;54
8670;65
8690;72
8710;71
8730;50
8750;55
8770;79
8790;67
8810;68
8830;61
8850;64
8870;44
8890;71
8910;51
8930;60
8950;53
8970;63
8990;59
9010;56
9030;69
9050;51
9070;57
9090;59
9110;47
9130;50
9150;58
9170;56
9190;51
9210;40
9230;55
9250;60
9270;44
9290;52
9310;44
9330;49
9350;47
9370;43
9390;55
9410;54
9430;46
9450;49
9470;44
9490;53
9510;53
9530;56
9550;44
9570;37
9590;39
