Channel;BGO;CSI;LYSO
-90;25;310;6
-70;40;292;36
-50;88;335;122
-30;160;286;294
-10;272;315;717
10;490;318;1289
30;765;333;2160
50;1044;328;3041
70;1483;374;4178
90;2012;398;5012
110;2651;405;5737
130;3296;398;6142
150;3938;480;6250
170;4716;491;6322
190;5080;564;6292
210;5628;657;6387
230;6128;684;6204
250;6431;751;6313
270;6699;807;6114
290;7032;938;6076
310;7173;970;5917
330;7391;986;6057
350;7452;1135;5797
370;7580;1152;5724
390;7759;1233;5605
410;8001;1295;5692
430;7833;1348;5541
450;7937;1522;5418
470;8087;1524;5340
490;7921;1585;5204
510;7931;1775;5218
530;7770;1780;5179
550;7726;1927;5025
570;7716;1898;5209
590;7628;2055;5180
610;7678;1964;4969
630;7721;2083;4953
650;8059;2147;5076
670;8174;2116;5020
690;8421;2060;4880
710;8684;2331;4931
730;9030;2212;5054
750;9275;2375;4937
770;9401;2272;4990
790;9663;2398;4938
810;9847;2418;5166
830;9829;2420;5087
850;9972;2432;5153
870;9631;2436;5073
890;9510;2520;5004
910;9555;2462;4981
930;9102;2555;5007
950;8919;2449;5130
970;8724;2509;5167
990;8356;2414;4955
1010;8226;2537;5198
1030;8035;2546;5195
1050;7693;2519;5180
1070;7656;2538;5137
1090;7315;2581;5163
1110;7173;2647;5149
1130;7024;2563;5064
1150;6735;2518;5082
1170;6659;2556;4992
1190;6699;2563;4967
1210;6449;2506;5017
1230;6166;2521;4949
1250;6116;2584;4987
1270;6120;2497;4881
1290;5832;2579;4981
1310;5820;2483;4993
1330;5694;2569;4891
1350;5662;2586;5009
1370;5665;2570;5032
1390;5587;2570;5031
1410;5540;2473;4994
1430;5237;2494;5130
1450;5304;2622;4950
1470;4995;2458;5075
1490;4975;2508;5183
1510;4851;2533;5264
1530;4637;2680;5222
1550;4500;2489;5224
1570;4246;2525;5233
1590;4111;2622;5297
1610;3966;2461;5279
1630;3720;2482;5283
1650;3522;2481;5331
1670;3327;2520;5267
1690;3208;2559;5332
1710;2914;2543;5375
1730;3004;2556;5369
1750;2922;2454;5243
1770;2796;2481;5341
1790;2824;2586;5420
1810;3013;2422;5396
1830;3167;2532;5364
1850;3423;2452;5300
1870;3727;2481;5529
1890;4067;2508;5379
1910;4427;2491;5409
1930;4794;2486;5390
1950;5396;2524;5502
1970;5748;2461;5461
1990;6334;2542;5483
2010;6723;2586;5306
2030;7174;2560;5549
2050;7939;2492;5495
2070;8365;2526;5451
2090;8948;2470;5687
2110;9693;2479;5686
2130;10470;2486;5680
2150;11691;2517;5753
2170;13186;2475;6027
2190;14863;2500;5845
2210;17086;2513;5861
2230;19178;2479;6012
2250;21226;2498;6021
