Channel 	Counts	 
-90 	1 	
-70 	4 	
-50 	4 	
-30 	15 	
-10 	22 	
10 	47 	
30 	58 	
50 	87 	
70 	113 	
90 	202 	
110 	226 	
130 	278 	
150 	423 	
170 	440 	
190 	525 	
210 	594 	
230 	669 	
250 	708 	
270 	710 	
290 	870 	
310 	812 	
330 	867 	
350 	930 	
370 	921 	
390 	955 	
410 	1004 	
430 	1111 	
450 	1107 	
470 	1051 	
490 	1064 	
510 	1040 	
530 	1141 	
550 	1161 	
570 	1076 	
590 	1105 	
610 	1160 	
630 	1150 	
650 	1176 	
670 	1173 	
690 	1243 	
710 	1192 	
730 	1246 	
750 	1264 	
770 	1231 	
790 	1268 	
810 	1312 	
830 	1311 	
850 	1265 	
870 	1299 	
890 	1289 	
910 	1288 	
930 	1201 	
950 	1196 	
970 	1219 	
990 	1212 	
1010 	1122 	
1030 	1103 	
1050 	1092 	
1070 	1065 	
1090 	1032 	
1110 	926 	
1130 	917 	
1150 	869 	
1170 	785 	
1190 	801 	
1210 	757 	
1230 	777 	
1250 	728 	
1270 	773 	
1290 	657 	
1310 	670 	
1330 	622 	
1350 	594 	
1370 	586 	
1390 	547 	
1410 	493 	
1430 	485 	
1450 	482 	
1470 	506 	
1490 	487 	
1510 	421 	
1530 	429 	
1550 	407 	
1570 	389 	
1590 	385 	
1610 	413 	
1630 	345 	
1650 	346 	
1670 	339 	
1690 	346 	
1710 	339 	
1730 	328 	
1750 	336 	
1770 	374 	
1790 	334 	
1810 	350 	
1830 	356 	
1850 	369 	
1870 	387 	
1890 	418 	
1910 	405 	
1930 	427 	
1950 	431 	
1970 	464 	
1990 	492 	
2010 	476 	
2030 	563 	
2050 	624 	
2070 	654 	
2090 	709 	
2110 	780 	
2130 	819 	
2150 	908 	
2170 	914 	
2190 	1076 	
2210 	1177 	
2230 	1185 	
2250 	1284 	
2270 	1280 	
2290 	1295 	
2310 	1298 	
2330 	1267 	
2350 	1202 	
2370 	1201 	
2390 	1092 	
2410 	927 	
2430 	871 	
2450 	747 	
2470 	632 	
2490 	566 	
2510 	461 	
2530 	361 	
2550 	341 	
2570 	236 	
2590 	222 	
2610 	164 	
2630 	138 	
2650 	108 	
2670 	95 	
2690 	90 	
2710 	85 	
2730 	65 	
2750 	78 	
2770 	58 	
2790 	59 	
2810 	62 	
2830 	76 	
2850 	67 	
2870 	58 	
2890 	54 	
2910 	72 	
2930 	59 	
