Channel 	Counts	 
-90 	5 	
-70 	3 	
-50 	7 	
-30 	15 	
-10 	33 	
10 	47 	
30 	54 	
50 	113 	
70 	154 	
90 	169 	
110 	259 	
130 	313 	
150 	396 	
170 	463 	
190 	492 	
210 	574 	
230 	663 	
250 	728 	
270 	768 	
290 	810 	
310 	945 	
330 	918 	
350 	990 	
370 	990 	
390 	1099 	
410 	1088 	
430 	1036 	
450 	1135 	
470 	1069 	
490 	1104 	
510 	1154 	
530 	1108 	
550 	1119 	
570 	1096 	
590 	1167 	
610 	1110 	
630 	1217 	
650 	1151 	
670 	1175 	
690 	1280 	
710 	1251 	
730 	1286 	
750 	1293 	
770 	1239 	
790 	1306 	
810 	1367 	
830 	1313 	
850 	1395 	
870 	1225 	
890 	1323 	
910 	1266 	
930 	1300 	
950 	1254 	
970 	1246 	
990 	1207 	
1010 	1202 	
1030 	1182 	
1050 	1097 	
1070 	1034 	
1090 	1053 	
1110 	969 	
1130 	979 	
1150 	860 	
1170 	878 	
1190 	862 	
1210 	788 	
1230 	736 	
1250 	711 	
1270 	661 	
1290 	672 	
1310 	673 	
1330 	704 	
1350 	582 	
1370 	558 	
1390 	536 	
1410 	509 	
1430 	526 	
1450 	486 	
1470 	439 	
1490 	463 	
1510 	401 	
1530 	402 	
1550 	392 	
1570 	396 	
1590 	368 	
1610 	369 	
1630 	339 	
1650 	338 	
1670 	310 	
1690 	300 	
1710 	314 	
1730 	335 	
1750 	350 	
1770 	307 	
1790 	365 	
1810 	334 	
1830 	337 	
1850 	401 	
1870 	398 	
1890 	384 	
1910 	402 	
1930 	432 	
1950 	456 	
1970 	474 	
1990 	490 	
2010 	530 	
2030 	588 	
2050 	612 	
2070 	720 	
2090 	772 	
2110 	894 	
2130 	929 	
2150 	997 	
2170 	1098 	
2190 	1165 	
2210 	1257 	
2230 	1347 	
2250 	1443 	
2270 	1392 	
2290 	1389 	
2310 	1382 	
2330 	1306 	
2350 	1297 	
2370 	1242 	
2390 	1131 	
2410 	1033 	
2430 	843 	
2450 	746 	
2470 	663 	
2490 	541 	
2510 	463 	
2530 	349 	
2550 	295 	
2570 	213 	
2590 	216 	
2610 	162 	
2630 	143 	
2650 	105 	
2670 	83 	
2690 	74 	
2710 	83 	
2730 	69 	
2750 	61 	
2770 	61 	
2790 	73 	
2810 	64 	
2830 	67 	
2850 	70 	
2870 	61 	
2890 	67 	
2910 	61 	
2930 	66 	
2950 	69 	
2970 	51 	
2990 	71 	
3010 	75 	
3030 	63 	
3050 	60 	
3070 	44 	
3090 	52 	
3110 	47 	
3130 	59 	
3150 	55 	
3170 	48 	
3190 	63 	
3210 	65 	
3230 	69 	
3250 	64 	
3270 	69 	
3290 	45 	
3310 	85 	
3330 	49 	
3350 	60 	
3370 	69 	
3390 	57 	
3410 	60 	
3430 	50 	
3450 	58 	
3470 	58 	
3490 	57 	
3510 	73 	
3530 	68 	
3550 	71 	
3570 	46 	
3590 	63 	
3610 	50 	
3630 	58 	
3650 	69 	
3670 	57 	
3690 	48 	
3710 	53 	
3730 	58 	
3750 	53 	
3770 	61 	
3790 	54 	
3810 	70 	
3830 	66 	
3850 	48 	
3870 	64 	
3890 	65 	
3910 	64 	
3930 	53 	
3950 	72 	
3970 	69 	
3990 	54 	
4010 	60 	
4030 	61 	
4050 	70 	
4070 	57 	
4090 	73 	
4110 	69 	
4130 	63 	
4150 	68 	
4170 	66 	
4190 	48 	
4210 	60 	
4230 	57 	
4250 	70 	
4270 	57 	
4290 	40 	
4310 	54 	
4330 	69 	
4350 	47 	
4370 	46 	
4390 	54 	
4410 	64 	
4430 	65 	
4450 	52 	
4470 	47 	
4490 	60 	
4510 	41 	
4530 	45 	
4550 	52 	
4570 	46 	
4590 	40 	
4610 	35 	
4630 	41 	
4650 	41 	
4670 	47 	
4690 	43 	
4710 	34 	
4730 	39 	
4750 	33 	
4770 	37 	
4790 	37 	
4810 	37 	
4830 	27 	
4850 	25 	
4870 	32 	
4890 	22 	
4910 	29 	
4930 	26 	
4950 	30 	
4970 	35 	
4990 	32 	
5010 	23 	
5030 	29 	
5050 	30 	
5070 	31 	
5090 	35 	
5110 	37 	
5130 	52 	
5150 	51 	
5170 	54 	
5190 	54 	
5210 	73 	
5230 	86 	
5250 	70 	
5270 	91 	
5290 	87 	
5310 	86 	
5330 	83 	
5350 	101 	
5370 	91 	
5390 	113 	
5410 	115 	
5430 	125 	
5450 	120 	
5470 	122 	
5490 	124 	
5510 	134 	
5530 	127 	
5550 	118 	
5570 	125 	
5590 	114 	
5610 	91 	
5630 	106 	
5650 	110 	
5670 	89 	
5690 	101 	
5710 	82 	
5730 	78 	
5750 	76 	
5770 	64 	
5790 	51 	
5810 	68 	
5830 	49 	
5850 	46 	
5870 	33 	
5890 	36 	
5910 	34 	
5930 	16 	
5950 	21 	
5970 	13 	
5990 	20 	
6010 	9 	
6030 	12 	
6050 	5 	
6070 	6 	
6090 	5 	
6110 	4 	
6130 	2 	
6150 	4 	
6170 	2 	
6190 	2 	
6210 	1 	
6230 	4 	
6250 	1 	
6270 	2 	
6290 	0 	
6310 	0 	
6330 	0 	
6350 	2 	
6370 	2 	
6390 	1 	
6410 	1 	
6430 	0 	
6450 	2 	
6470 	0 	
6490 	0 	
6510 	1 	
6530 	1 	
6550 	1 	
6570 	1 	
6590 	1 	
6610 	0 	
6630 	1 	
6650 	0 	
6670 	0 	
6690 	1 	
6710 	1 	
6730 	0 	
6750 	0 	
6770 	1 	
6790 	0 	
6810 	0 	
6830 	0 	
6850 	0 	
6870 	1 	
6890 	0 	
6910 	0 	
6930 	0 	
6950 	0 	
6970 	1 	
6990 	0 	
7010 	0 	
7030 	0 	
7050 	0 	
7070 	0 	
7090 	1 	
7110 	1 	
7130 	0 	
7150 	0 	
7170 	0 	
7190 	0 	
7210 	0 	
7230 	1 	
7250 	0 	
7270 	0 	
7290 	0 	
7310 	0 	
7330 	0 	
7350 	0 	
7370 	0 	
7390 	0 	
7410 	0 	
7430 	0 	
7450 	0 	
7470 	1 	
7490 	0 	
7510 	0 	
7530 	0 	
7550 	1 	
7570 	1 	
7590 	1 	
7610 	0 	
7630 	1 	
7650 	0 	
7670 	0 	
7690 	0 	
7710 	0 	
7730 	0 	
7750 	2 	
7770 	0 	
7790 	0 	
7810 	0 	
7830 	0 	
7850 	1 	
7870 	0 	
7890 	0 	
7910 	0 	
7930 	0 	
7950 	0 	
7970 	0 	
7990 	0 	
8010 	0 	
8030 	0 	
8050 	0 	
8070 	1 	
8090 	0 	
8110 	0 	
8130 	0 	
8150 	0 	
8170 	0 	
8190 	0 	
8210 	0 	
8230 	0 	
8250 	0 	
8270 	0 	
8290 	0 	
8310 	0 	
8330 	0 	
8350 	0 	
8370 	1 	
8390 	0 	
8410 	1 	
8430 	0 	
8450 	0 	
8470 	0 	
8490 	0 	
8510 	0 	
8530 	0 	
8550 	0 	
8570 	0 	
8590 	0 	
8610 	0 	
8630 	0 	
8650 	0 	
8670 	0 	
8690 	0 	
