Channel 	Counts	 
-90 	2 	
-70 	3 	
-50 	3 	
-30 	11 	
-10 	16 	
10 	23 	
30 	45 	
50 	72 	
70 	98 	
90 	126 	
110 	180 	
130 	198 	
150 	272 	
170 	317 	
190 	344 	
210 	340 	
230 	414 	
250 	467 	
270 	517 	
290 	560 	
310 	557 	
330 	575 	
350 	569 	
370 	546 	
390 	638 	
410 	674 	
430 	682 	
450 	725 	
470 	713 	
490 	703 	
510 	736 	
530 	698 	
550 	762 	
570 	709 	
590 	729 	
610 	765 	
630 	759 	
650 	724 	
670 	789 	
690 	797 	
710 	866 	
730 	814 	
750 	856 	
770 	901 	
790 	875 	
810 	966 	
830 	990 	
850 	1003 	
870 	1049 	
890 	1009 	
910 	885 	
930 	957 	
950 	917 	
970 	930 	
990 	860 	
1010 	880 	
1030 	784 	
1050 	775 	
1070 	773 	
1090 	667 	
1110 	660 	
1130 	623 	
1150 	605 	
1170 	571 	
1190 	483 	
1210 	494 	
1230 	443 	
1250 	455 	
1270 	453 	
1290 	393 	
1310 	424 	
1330 	378 	
1350 	348 	
1370 	334 	
1390 	342 	
1410 	302 	
1430 	299 	
1450 	273 	
1470 	252 	
1490 	211 	
1510 	233 	
1530 	222 	
1550 	201 	
1570 	204 	
1590 	204 	
1610 	181 	
1630 	155 	
1650 	152 	
1670 	156 	
1690 	164 	
1710 	160 	
1730 	149 	
1750 	176 	
1770 	164 	
1790 	189 	
1810 	194 	
1830 	192 	
1850 	250 	
1870 	249 	
1890 	265 	
1910 	267 	
1930 	318 	
1950 	323 	
1970 	365 	
1990 	388 	
2010 	434 	
2030 	484 	
2050 	585 	
2070 	589 	
2090 	655 	
2110 	757 	
2130 	799 	
2150 	852 	
2170 	1044 	
2190 	1068 	
2210 	1151 	
2230 	1174 	
2250 	1256 	
2270 	1203 	
2290 	1190 	
2310 	1192 	
2330 	1160 	
2350 	1070 	
2370 	942 	
2390 	931 	
2410 	788 	
2430 	701 	
2450 	580 	
2470 	484 	
2490 	384 	
2510 	293 	
2530 	279 	
2550 	204 	
2570 	167 	
2590 	147 	
2610 	106 	
2630 	101 	
2650 	63 	
2670 	61 	
2690 	59 	
2710 	51 	
2730 	50 	
2750 	46 	
2770 	49 	
2790 	43 	
2810 	33 	
2830 	47 	
2850 	34 	
2870 	33 	
2890 	48 	
2910 	54 	
2930 	38 	
2950 	48 	
2970 	51 	
2990 	43 	
3010 	61 	
3030 	49 	
3050 	45 	
3070 	45 	
3090 	38 	
3110 	48 	
3130 	51 	
3150 	54 	
3170 	45 	
3190 	44 	
3210 	54 	
3230 	59 	
3250 	58 	
3270 	46 	
3290 	41 	
3310 	51 	
3330 	46 	
3350 	31 	
3370 	40 	
3390 	40 	
3410 	47 	
3430 	45 	
3450 	48 	
3470 	34 	
3490 	43 	
3510 	48 	
3530 	39 	
3550 	48 	
3570 	42 	
3590 	30 	
3610 	39 	
3630 	39 	
3650 	33 	
3670 	48 	
3690 	51 	
3710 	34 	
3730 	35 	
3750 	42 	
3770 	42 	
3790 	44 	
3810 	35 	
3830 	40 	
3850 	48 	
3870 	60 	
3890 	45 	
3910 	52 	
3930 	48 	
3950 	47 	
3970 	36 	
3990 	57 	
4010 	42 	
4030 	46 	
4050 	52 	
4070 	48 	
4090 	45 	
4110 	39 	
4130 	46 	
4150 	46 	
4170 	47 	
4190 	36 	
4210 	47 	
4230 	36 	
4250 	35 	
4270 	37 	
4290 	39 	
4310 	59 	
4330 	56 	
4350 	42 	
4370 	45 	
4390 	42 	
4410 	41 	
4430 	40 	
4450 	48 	
4470 	42 	
4490 	38 	
4510 	36 	
4530 	35 	
4550 	36 	
4570 	30 	
4590 	29 	
4610 	24 	
4630 	23 	
4650 	26 	
4670 	32 	
4690 	33 	
4710 	38 	
4730 	30 	
4750 	22 	
4770 	18 	
4790 	24 	
4810 	26 	
4830 	18 	
4850 	23 	
4870 	17 	
4890 	12 	
4910 	19 	
4930 	15 	
4950 	22 	
4970 	20 	
4990 	25 	
5010 	28 	
5030 	35 	
5050 	33 	
5070 	39 	
5090 	49 	
5110 	32 	
5130 	53 	
5150 	50 	
5170 	75 	
5190 	48 	
5210 	54 	
5230 	54 	
5250 	74 	
5270 	68 	
5290 	64 	
5310 	83 	
5330 	73 	
5350 	84 	
5370 	84 	
5390 	97 	
5410 	109 	
5430 	94 	
5450 	102 	
5470 	74 	
5490 	115 	
5510 	120 	
5530 	99 	
5550 	93 	
5570 	86 	
5590 	98 	
5610 	88 	
5630 	81 	
5650 	77 	
5670 	69 	
5690 	58 	
5710 	49 	
5730 	59 	
5750 	48 	
5770 	44 	
5790 	30 	
5810 	35 	
5830 	27 	
5850 	26 	
5870 	16 	
5890 	21 	
5910 	9 	
5930 	14 	
5950 	8 	
5970 	5 	
5990 	5 	
6010 	7 	
6030 	2 	
6050 	5 	
6070 	3 	
6090 	2 	
6110 	3 	
6130 	2 	
6150 	2 	
6170 	2 	
6190 	1 	
6210 	2 	
6230 	2 	
6250 	1 	
6270 	1 	
6290 	2 	
6310 	0 	
6330 	0 	
6350 	3 	
6370 	0 	
6390 	0 	
6410 	0 	
6430 	0 	
6450 	0 	
6470 	0 	
6490 	0 	
6510 	0 	
6530 	0 	
6550 	0 	
6570 	0 	
6590 	2 	
6610 	0 	
6630 	2 	
6650 	0 	
6670 	1 	
6690 	0 	
6710 	1 	
6730 	0 	
6750 	0 	
6770 	0 	
6790 	0 	
6810 	0 	
6830 	0 	
6850 	0 	
6870 	0 	
6890 	0 	
6910 	0 	
6930 	1 	
6950 	0 	
6970 	0 	
6990 	0 	
7010 	0 	
7030 	0 	
7050 	0 	
7070 	1 	
7090 	0 	
7110 	0 	
7130 	0 	
7150 	0 	
7170 	0 	
7190 	1 	
7210 	0 	
7230 	0 	
7250 	0 	
7270 	0 	
7290 	0 	
7310 	1 	
7330 	1 	
7350 	1 	
7370 	0 	
7390 	2 	
7410 	1 	
7430 	0 	
7450 	0 	
7470 	1 	
7490 	0 	
7510 	0 	
7530 	0 	
7550 	1 	
7570 	1 	
7590 	0 	
7610 	0 	
7630 	0 	
7650 	0 	
7670 	0 	
7690 	0 	
7710 	0 	
7730 	0 	
7750 	0 	
7770 	1 	
7790 	0 	
7810 	0 	
7830 	0 	
7850 	0 	
7870 	0 	
7890 	0 	
7910 	0 	
7930 	0 	
7950 	1 	
7970 	0 	
7990 	0 	
8010 	0 	
8030 	0 	
8050 	0 	
8070 	0 	
8090 	0 	
8110 	0 	
8130 	0 	
8150 	1 	
8170 	0 	
8190 	0 	
8210 	0 	
8230 	0 	
8250 	0 	
8270 	0 	
8290 	0 	
8310 	0 	
8330 	0 	
8350 	0 	
8370 	0 	
8390 	0 	
8410 	0 	
8430 	0 	
8450 	0 	
8470 	0 	
8490 	0 	
8510 	0 	
8530 	0 	
8550 	0 	
8570 	0 	
8590 	0 	
8610 	0 	
8630 	0 	
8650 	0 	
8670 	0 	
8690 	0 	
8710 	0 	
8730 	0 	
8750 	0 	
8770 	1 	
8790 	0 	
8810 	0 	
8830 	0 	
8850 	0 	
8870 	0 	
8890 	0 	
8910 	0 	
8930 	0 	
8950 	0 	
8970 	0 	
8990 	0 	
9010 	0 	
9030 	0 	
9050 	0 	
9070 	0 	
9090 	0 	
9110 	0 	
9130 	0 	
9150 	0 	
9170 	0 	
9190 	0 	
9210 	0 	
9230 	0 	
9250 	0 	
9270 	0 	
9290 	0 	
9310 	1 	
9330 	0 	
9350 	0 	
9370 	0 	
9390 	0 	
9410 	0 	
9430 	0 	
9450 	0 	
9470 	0 	
9490 	0 	
9510 	0 	
9530 	0 	
9550 	0 	
9570 	0 	
9590 	0 	
9610 	0 	
9630 	0 	
9650 	0 	
9670 	0 	
9690 	0 	
9710 	0 	
9730 	0 	
9750 	0 	
9770 	0 	
9790 	0 	
9810 	0 	
9830 	0 	
9850 	0 	
9870 	0 	
9890 	0 	
9910 	0 	
9930 	0 	
9950 	0 	
9970 	0 	
9990 	0 	
10010 	0 	
10030 	0 	
10050 	0 	
10070 	0 	
10090 	0 	
10110 	0 	
10130 	0 	
10150 	0 	
10170 	0 	
10190 	0 	
10210 	0 	
10230 	0 	
10250 	0 	
10270 	0 	
10290 	0 	
10310 	0 	
10330 	0 	
10350 	0 	
10370 	0 	
10390 	0 	
10410 	0 	
10430 	0 	
10450 	0 	
10470 	0 	
10490 	0 	
10510 	0 	
10530 	0 	
10550 	0 	
10570 	0 	
10590 	0 	
10610 	0 	
10630 	0 	
10650 	0 	
10670 	0 	
10690 	1 	
10710 	0 	
10730 	0 	
10750 	0 	
10770 	0 	
10790 	0 	
10810 	0 	
10830 	0 	
10850 	0 	
10870 	0 	
10890 	0 	
10910 	0 	
10930 	0 	
10950 	0 	
10970 	0 	
10990 	0 	
11010 	0 	
11030 	0 	
11050 	0 	
11070 	0 	
11090 	0 	
11110 	0 	
11130 	0 	
11150 	0 	
11170 	0 	
11190 	0 	
11210 	0 	
11230 	0 	
11250 	0 	
11270 	0 	
11290 	0 	
11310 	0 	
11330 	0 	
11350 	0 	
11370 	0 	
11390 	0 	
11410 	0 	
11430 	0 	
11450 	0 	
11470 	0 	
11490 	0 	
11510 	0 	
11530 	0 	
11550 	0 	
11570 	0 	
11590 	0 	
11610 	0 	
11630 	0 	
11650 	0 	
11670 	0 	
11690 	0 	
11710 	0 	
11730 	0 	
11750 	1 	
11770 	0 	
11790 	0 	
11810 	0 	
11830 	0 	
11850 	1 	
11870 	0 	
11890 	0 	
11910 	0 	
11930 	0 	
11950 	0 	
11970 	0 	
11990 	0 	
12010 	0 	
12030 	0 	
12050 	0 	
12070 	0 	
12090 	0 	
12110 	0 	
12130 	0 	
12150 	0 	
12170 	0 	
12190 	0 	
12210 	0 	
12230 	0 	
12250 	0 	
12270 	0 	
12290 	0 	
12310 	0 	
12330 	0 	
12350 	0 	
12370 	0 	
12390 	0 	
12410 	0 	
12430 	0 	
12450 	0 	
12470 	0 	
12490 	0 	
12510 	0 	
12530 	0 	
12550 	0 	
12570 	0 	
12590 	0 	
12610 	0 	
12630 	0 	
12650 	0 	
12670 	0 	
12690 	0 	
12710 	0 	
12730 	0 	
12750 	0 	
12770 	0 	
12790 	0 	
12810 	0 	
12830 	0 	
12850 	0 	
12870 	0 	
12890 	0 	
12910 	0 	
12930 	0 	
12950 	0 	
12970 	0 	
12990 	0 	
13010 	0 	
13030 	0 	
13050 	0 	
13070 	0 	
13090 	0 	
13110 	0 	
13130 	0 	
13150 	0 	
13170 	0 	
13190 	0 	
13210 	0 	
13230 	0 	
13250 	0 	
13270 	0 	
13290 	0 	
13310 	0 	
13330 	0 	
13350 	0 	
13370 	0 	
13390 	0 	
13410 	0 	
13430 	0 	
13450 	0 	
13470 	0 	
13490 	0 	
13510 	0 	
13530 	0 	
13550 	0 	
13570 	0 	
13590 	0 	
13610 	0 	
13630 	0 	
13650 	0 	
13670 	0 	
13690 	0 	
13710 	0 	
13730 	0 	
13750 	0 	
13770 	0 	
13790 	0 	
13810 	0 	
13830 	0 	
13850 	0 	
13870 	0 	
13890 	0 	
13910 	0 	
13930 	0 	
13950 	0 	
13970 	0 	
13990 	0 	
14010 	0 	
14030 	0 	
14050 	0 	
14070 	0 	
14090 	0 	
14110 	0 	
14130 	0 	
14150 	0 	
14170 	0 	
14190 	0 	
14210 	0 	
14230 	0 	
14250 	0 	
14270 	0 	
14290 	0 	
14310 	0 	
14330 	0 	
14350 	0 	
14370 	0 	
14390 	0 	
14410 	0 	
14430 	0 	
14450 	0 	
14470 	0 	
14490 	0 	
14510 	0 	
14530 	0 	
14550 	0 	
14570 	0 	
14590 	0 	
14610 	0 	
14630 	0 	
14650 	0 	
14670 	0 	
14690 	0 	
14710 	0 	
14730 	0 	
14750 	0 	
14770 	0 	
14790 	0 	
14810 	0 	
14830 	0 	
14850 	0 	
