Channel 	Counts	 
-90 	17 	
-70 	27 	
-50 	33 	
-30 	52 	
-10 	49 	
10 	60 	
30 	79 	
50 	91 	
70 	127 	
90 	172 	
110 	186 	
130 	229 	
150 	272 	
170 	297 	
190 	323 	
210 	390 	
230 	369 	
250 	409 	
270 	457 	
290 	460 	
310 	475 	
330 	503 	
350 	516 	
370 	594 	
390 	603 	
410 	605 	
430 	611 	
450 	627 	
470 	637 	
490 	651 	
510 	639 	
530 	642 	
550 	674 	
570 	709 	
590 	663 	
610 	668 	
630 	737 	
650 	754 	
670 	766 	
690 	751 	
710 	784 	
730 	839 	
750 	870 	
770 	946 	
790 	849 	
810 	885 	
830 	939 	
850 	962 	
870 	883 	
890 	894 	
910 	844 	
930 	788 	
950 	754 	
970 	780 	
990 	702 	
1010 	686 	
1030 	643 	
1050 	585 	
1070 	572 	
1090 	539 	
1110 	459 	
1130 	486 	
1150 	450 	
1170 	445 	
1190 	378 	
1210 	407 	
1230 	345 	
1250 	345 	
1270 	294 	
1290 	336 	
1310 	299 	
1330 	286 	
1350 	266 	
1370 	278 	
1390 	252 	
1410 	236 	
1430 	215 	
1450 	226 	
1470 	203 	
1490 	184 	
1510 	175 	
1530 	153 	
1550 	151 	
1570 	142 	
1590 	142 	
1610 	136 	
1630 	122 	
1650 	137 	
1670 	174 	
1690 	159 	
1710 	180 	
1730 	214 	
1750 	191 	
1770 	202 	
1790 	216 	
1810 	273 	
1830 	282 	
1850 	280 	
1870 	303 	
1890 	330 	
1910 	381 	
1930 	424 	
1950 	510 	
1970 	538 	
1990 	613 	
2010 	672 	
2030 	748 	
2050 	876 	
2070 	976 	
2090 	1024 	
2110 	1111 	
2130 	1145 	
2150 	1178 	
2170 	1186 	
2190 	1169 	
2210 	1135 	
2230 	1104 	
2250 	1034 	
2270 	867 	
2290 	786 	
2310 	711 	
2330 	618 	
2350 	500 	
2370 	404 	
2390 	346 	
2410 	305 	
2430 	208 	
2450 	180 	
2470 	124 	
2490 	107 	
2510 	92 	
2530 	70 	
2550 	62 	
2570 	52 	
2590 	49 	
2610 	36 	
2630 	41 	
2650 	44 	
2670 	30 	
2690 	38 	
2710 	31 	
2730 	42 	
2750 	26 	
2770 	36 	
2790 	40 	
2810 	34 	
2830 	38 	
2850 	56 	
2870 	43 	
2890 	42 	
2910 	43 	
2930 	46 	
2950 	41 	
2970 	32 	
2990 	39 	
3010 	28 	
3030 	30 	
3050 	39 	
3070 	49 	
3090 	31 	
3110 	41 	
3130 	38 	
3150 	35 	
3170 	35 	
3190 	37 	
3210 	47 	
3230 	37 	
3250 	52 	
3270 	33 	
3290 	35 	
3310 	39 	
3330 	49 	
3350 	38 	
3370 	38 	
3390 	54 	
3410 	29 	
3430 	37 	
3450 	37 	
3470 	39 	
3490 	40 	
3510 	36 	
3530 	53 	
3550 	48 	
3570 	41 	
3590 	41 	
3610 	41 	
3630 	31 	
3650 	36 	
3670 	42 	
3690 	41 	
3710 	51 	
3730 	44 	
3750 	44 	
3770 	30 	
3790 	41 	
3810 	49 	
3830 	48 	
3850 	38 	
3870 	38 	
3890 	45 	
3910 	36 	
3930 	40 	
3950 	64 	
3970 	54 	
3990 	54 	
4010 	43 	
4030 	45 	
4050 	51 	
4070 	35 	
4090 	45 	
4110 	55 	
4130 	44 	
4150 	34 	
4170 	47 	
4190 	27 	
4210 	47 	
4230 	39 	
4250 	43 	
4270 	44 	
4290 	31 	
4310 	39 	
4330 	34 	
4350 	21 	
4370 	36 	
4390 	39 	
4410 	27 	
4430 	32 	
4450 	24 	
4470 	26 	
4490 	35 	
4510 	30 	
4530 	20 	
4550 	24 	
4570 	23 	
4590 	16 	
4610 	17 	
4630 	24 	
4650 	18 	
4670 	18 	
4690 	24 	
4710 	15 	
4730 	22 	
4750 	16 	
4770 	16 	
4790 	25 	
4810 	32 	
4830 	32 	
4850 	35 	
4870 	44 	
4890 	30 	
4910 	55 	
