Channel;Counts;
-90;32;
-70;53;
-50;71;
-30;88;
-10;160;
10;208;
30;261;
50;385;
70;499;
90;627;
110;735;
130;930;
150;1122;
170;1270;
190;1479;
210;1575;
230;1655;
250;1830;
270;1960;
290;2091;
310;2212;
330;2214;
350;2297;
370;2442;
390;2521;
410;2513;
430;2661;
450;2720;
470;2796;
490;2698;
510;2758;
530;2926;
550;2797;
570;2976;
590;2893;
610;2890;
630;2972;
650;3072;
670;3041;
690;2861;
710;2926;
730;3169;
750;3097;
770;3110;
790;3204;
810;3293;
830;3421;
850;3384;
870;3463;
890;3353;
910;3463;
930;3352;
950;3271;
970;3310;
990;3225;
1010;3187;
1030;3200;
1050;2996;
1070;3015;
1090;3009;
1110;2858;
1130;2798;
1150;2743;
1170;2579;
1190;2469;
1210;2326;
1230;2311;
1250;2164;
1270;2111;
1290;1984;
1310;1864;
1330;1838;
1350;1695;
1370;1624;
1390;1644;
1410;1524;
1430;1493;
1450;1398;
1470;1427;
1490;1363;
1510;1328;
1530;1296;
1550;1273;
1570;1170;
1590;1137;
1610;1078;
1630;1063;
1650;996;
1670;1044;
1690;1002;
1710;947;
1730;961;
1750;881;
1770;835;
1790;790;
1810;856;
1830;842;
1850;812;
1870;829;
1890;854;
1910;929;
1930;891;
1950;859;
1970;1004;
1990;1020;
2010;1045;
2030;1114;
2050;1167;
2070;1181;
2090;1223;
2110;1340;
2130;1390;
2150;1454;
2170;1579;
2190;1689;
2210;1816;
2230;2026;
2250;2234;
2270;2501;
2290;2550;
2310;2907;
2330;2982;
2350;3138;
2370;3369;
2390;3504;
2410;3553;
2430;3565;
2450;3609;
2470;3516;
2490;3197;
2510;3068;
2530;2840;
2550;2514;
2570;2251;
2590;1951;
2610;1702;
2630;1499;
2650;1155;
2670;996;
2690;824;
2710;674;
2730;490;
2750;465;
2770;343;
2790;315;
2810;273;
2830;224;
2850;202;
2870;188;
2890;182;
2910;182;
2930;178;
2950;179;
2970;139;
2990;148;
3010;156;
3030;153;
3050;164;
3070;168;
3090;143;
3110;139;
3130;156;
3150;167;
3170;150;
3190;150;
3210;158;
3230;163;
3250;156;
3270;151;
3290;154;
3310;164;
3330;167;
3350;167;
3370;139;
3390;148;
3410;165;
3430;155;
3450;145;
3470;157;
3490;154;
3510;153;
3530;158;
3550;145;
3570;174;
3590;154;
3610;141;
3630;141;
3650;172;
3670;159;
3690;155;
3710;152;
3730;174;
3750;153;
3770;130;
3790;137;
3810;140;
3830;165;
3850;137;
3870;136;
3890;155;
3910;159;
3930;145;
3950;167;
3970;136;
3990;148;
4010;141;
4030;159;
4050;155;
4070;153;
4090;140;
4110;153;
4130;159;
4150;159;
4170;171;
4190;164;
4210;157;
4230;129;
4250;142;
4270;155;
4290;164;
4310;162;
4330;150;
4350;163;
4370;141;
4390;147;
4410;162;
4430;162;
4450;142;
4470;182;
4490;167;
4510;163;
4530;140;
4550;177;
4570;140;
4590;162;
4610;148;
4630;141;
4650;130;
4670;151;
4690;137;
4710;151;
4730;122;
4750;123;
4770;116;
4790;117;
4810;127;
4830;128;
4850;103;
4870;96;
4890;117;
4910;107;
4930;97;
4950;90;
4970;103;
4990;96;
5010;90;
5030;98;
5050;85;
5070;84;
5090;63;
5110;76;
5130;71;
5150;65;
5170;67;
5190;70;
5210;87;
5230;86;
5250;66;
5270;77;
5290;81;
5310;97;
5330;110;
5350;83;
5370;109;
5390;119;
5410;99;
5430;120;
5450;120;
5470;167;
5490;154;
5510;178;
5530;176;
5550;213;
5570;204;
5590;249;
5610;231;
5630;269;
5650;257;
5670;278;
5690;297;
5710;286;
5730;266;
5750;308;
5770;313;
5790;331;
5810;300;
5830;305;
5850;313;
5870;269;
5890;290;
5910;286;
5930;312;
5950;291;
5970;260;
5990;258;
6010;221;
6030;238;
6050;225;
6070;157;
6090;197;
6110;132;
6130;113;
6150;127;
6170;94;
6190;99;
6210;64;
6230;79;
6250;64;
6270;48;
6290;37;
6310;27;
6330;25;
6350;13;
6370;23;
6390;16;
6410;10;
6430;14;
6450;7;
6470;3;
6490;3;
6510;4;
6530;5;
6550;6;
6570;1;
6590;1;
6610;1;
6630;0;
6650;3;
6670;1;
6690;4;
6710;3;
6730;6;
6750;1;
6770;1;
6790;5;
6810;6;
6830;2;
6850;0;
6870;0;
6890;1;
6910;2;
