Channel;Counts
-90;0
-70;0
-50;0
-30;0
-10;0
10;0
30;0
50;1
70;0
90;0
110;0
130;0
150;0
170;0
190;2
210;0
230;0
250;0
270;1
290;0
310;0
330;0
350;0
370;1
390;0
410;0
430;0
450;0
470;1
490;1
510;1
530;0
550;0
570;0
590;0
610;1
630;0
650;0
670;0
690;0
710;0
730;0
750;0
770;0
790;1
810;0
830;0
850;0
870;0
890;0
910;0
930;0
950;0
970;0
990;0
1010;0
1030;0
1050;0
1070;0
1090;0
1110;0
1130;0
1150;0
1170;0
1190;0
1210;0
1230;0
1250;0
1270;0
1290;0
1310;0
1330;0
1350;0
1370;0
1390;0
1410;0
1430;0
1450;0
1470;0
1490;0
1510;0
1530;0
1550;0
1570;0
1590;0
1610;0
1630;0
1650;0
1670;0
1690;0
1710;0
1730;0
1750;0
1770;0
1790;0
1810;0
1830;0
1850;0
1870;0
1890;0
1910;0
1930;0
1950;0
1970;0
1990;0
2010;0
2030;0
2050;0
2070;0
2090;0
2110;0
2130;0
2150;0
2170;0
2190;0
2210;0
2230;0
2250;0
2270;0
2290;0
2310;0
2330;0
2350;0
2370;0
2390;0
2410;0
2430;0
2450;0
2470;0
2490;0
2510;0
2530;0
2550;0
2570;0
2590;0
2610;0
2630;0
2650;0
2670;0
2690;0
2710;0
2730;0
2750;0
2770;0
2790;0
2810;0
2830;0
2850;0
2870;0
2890;0
2910;1
2930;2
2950;3
2970;3
2990;16
3010;27
3030;43
3050;75
3070;92
3090;123
3110;123
3130;168
3150;128
3170;140
3190;112
3210;112
3230;89
3250;88
3270;112
3290;98
3310;142
3330;150
3350;215
3370;241
3390;323
3410;363
3430;377
3450;377
3470;298
3490;254
3510;240
3530;218
3550;190
3570;189
3590;202
3610;236
3630;258
3650;296
3670;343
3690;384
3710;466
3730;463
3750;445
3770;410
3790;360
3810;314
3830;299
3850;298
3870;263
3890;250
3910;246
3930;296
3950;298
3970;319
3990;345
4010;374
4030;424
4050;466
4070;422
4090;408
4110;365
4130;306
4150;276
4170;260
4190;207
4210;255
4230;260
4250;237
4270;287
4290;290
4310;333
4330;389
4350;427
4370;409
4390;329
4410;328
4430;309
4450;265
4470;253
4490;199
4510;221
4530;246
4550;232
4570;226
4590;255
4610;267
4630;301
4650;337
4670;326
4690;320
4710;329
4730;284
4750;251
4770;201
4790;213
4810;205
4830;196
4850;193
4870;206
4890;216
4910;214
4930;251
4950;256
4970;295
4990;277
5010;251
5030;259
5050;247
5070;202
5090;192
5110;173
5130;198
5150;168
5170;196
5190;206
5210;217
5230;213
5250;243
5270;266
5290;254
5310;248
5330;227
5350;220
5370;191
5390;193
5410;175
5430;146
5450;152
5470;149
5490;169
5510;153
5530;169
5550;179
5570;201
5590;222
5610;220
5630;233
5650;197
5670;197
5690;188
5710;178
5730;162
5750;146
5770;162
5790;170
5810;155
5830;152
5850;145
5870;186
5890;188
5910;202
5930;177
5950;188
5970;173
5990;163
6010;159
6030;152
6050;166
6070;136
6090;115
6110;133
6130;125
6150;126
6170;144
6190;166
6210;158
6230;180
6250;173
6270;175
6290;163
6310;155
6330;133
6350;122
6370;106
6390;113
6410;127
6430;116
6450;125
6470;123
6490;131
6510;150
6530;145
6550;142
6570;141
6590;135
6610;168
6630;120
6650;128
6670;115
6690;119
6710;107
6730;111
6750;103
6770;121
6790;121
6810;132
6830;133
6850;146
6870;145
6890;142
6910;135
6930;109
6950;114
6970;109
6990;97
7010;110
7030;103
7050;104
7070;87
7090;105
7110;106
7130;124
7150;122
7170;133
7190;129
7210;122
7230;111
7250;115
7270;117
7290;101
7310;101
7330;100
7350;100
7370;78
7390;103
7410;90
7430;117
7450;96
7470;120
7490;108
7510;128
7530;98
7550;96
7570;89
7590;95
7610;91
7630;111
7650;90
7670;100
7690;90
7710;78
7730;99
7750;87
7770;115
7790;108
7810;99
7830;92
7850;100
7870;90
7890;76
7910;74
7930;71
7950;70
7970;74
7990;74
8010;74
8030;95
8050;70
8070;97
8090;96
8110;100
8130;91
8150;89
8170;84
8190;80
8210;76
8230;84
8250;72
8270;62
8290;82
8310;81
8330;68
8350;74
8370;64
8390;76
8410;93
8430;67
8450;65
8470;96
8490;81
8510;70
8530;66
8550;65
8570;69
8590;71
8610;61
8630;79
8650;63
8670;72
8690;67
8710;76
8730;71
8750;65
8770;91
8790;71
8810;62
8830;72
8850;73
8870;55
8890;67
8910;71
8930;70
8950;55
8970;53
8990;64
9010;89
9030;63
9050;60
9070;70
9090;76
9110;60
9130;68
9150;73
9170;60
9190;52
9210;53
9230;68
9250;65
9270;60
9290;54
9310;61
9330;62
9350;61
9370;61
9390;56
9410;62
9430;64
9450;54
9470;57
9490;56
9510;53
9530;46
9550;55
9570;58
9590;58
9610;38
9630;41
9650;50
9670;56
9690;46
9710;54
9730;49
9750;45
9770;54
9790;43
9810;45
9830;44
9850;44
9870;49
9890;58
9910;57
9930;62
9950;55
9970;54
9990;48
10010;61
10030;50
10050;62
10070;53
10090;35
10110;53
10130;57
10150;39
10170;39
10190;43
10210;52
10230;43
10250;48
10270;44
10290;38
10310;37
10330;48
10350;45
10370;40
10390;41
10410;41
10430;46
10450;35
10470;42
10490;39
10510;40
10530;40
10550;48
10570;39
10590;27
10610;52
10630;40
10650;57
10670;44
10690;33
10710;59
10730;29
10750;36
10770;43
10790;31
10810;34
10830;33
10850;35
10870;36
10890;49
10910;34
10930;35
10950;35
10970;38
10990;34
11010;39
11030;27
11050;36
11070;32
11090;33
11110;42
11130;35
11150;42
11170;23
11190;43
11210;31
11230;36
11250;37
11270;37
11290;31
11310;32
11330;36
11350;43
11370;31
11390;26
11410;29
11430;27
11450;25
11470;34
11490;29
11510;34
11530;31
11550;38
11570;23
11590;26
11610;21
11630;22
11650;28
11670;40
11690;22
11710;40
11730;26
11750;25
11770;30
11790;29
11810;40
11830;26
11850;30
11870;34
11890;28
11910;37
11930;25
11950;35
11970;28
11990;16
12010;22
12030;25
12050;31
12070;29
12090;27
12110;21
12130;25
12150;32
12170;35
12190;35
12210;34
12230;24
12250;33
12270;32
12290;21
12310;28
12330;29
12350;44
12370;27
12390;36
12410;23
12430;23
12450;18
12470;14
12490;39
12510;27
12530;28
12550;20
12570;33
12590;27
12610;28
12630;14
12650;28
12670;41
12690;23
12710;18
12730;28
12750;16
12770;20
12790;25
12810;32
12830;24
12850;27
12870;17
12890;26
12910;28
12930;26
12950;21
12970;24
12990;20
13010;23
13030;19
13050;27
13070;20
13090;26
13110;18
13130;18
13150;23
13170;21
13190;24
13210;24
13230;12
13250;29
13270;19
13290;19
13310;16
13330;24
13350;26
13370;31
13390;21
13410;23
13430;26
13450;18
13470;19
13490;19
13510;24
13530;27
13550;27
13570;22
13590;14
13610;17
13630;18
13650;27
13670;21
13690;23
13710;18
13730;14
13750;18
13770;12
13790;12
13810;18
13830;28
13850;25
13870;29
13890;21
13910;19
13930;22
13950;24
13970;24
13990;18
14010;19
14030;20
14050;19
14070;18
14090;15
14110;12
14130;16
14150;23
14170;18
14190;21
14210;17
14230;14
14250;16
14270;14
14290;13
14310;16
14330;20
14350;28
14370;15
14390;13
14410;9
14430;20
14450;16
14470;21
14490;15
