Channel;Muon;Source
-90;0;0
-70;0;0
-50;0;0
-30;0;0
-10;0;0
10;0;0
30;0;0
50;1,39E-05;0
70;0;0
90;0;0
110;0;0
130;0;0
150;0;0
170;0;0
190;2,77E-05;0
210;0;0
230;0;0
250;0;0
270;1,39E-05;0
290;0;0
310;0;0
330;0;0
350;0;0
370;1,39E-05;0
390;0;0
410;0;0
430;0;0
450;0;0
470;1,39E-05;0
490;1,39E-05;0
510;1,39E-05;0
530;0;0
550;0;0
570;0;0
590;0;0
610;1,39E-05;0
630;0;0
650;0;0
670;0;0
690;0;0
710;0;0
730;0;0
750;0;0
770;0;0
790;1,39E-05;0
810;0;0
830;0;0
850;0;0
870;0;0
890;0;0
910;0;0
930;0;0
950;0;0
970;0;0
990;0;0
1010;0;0
1030;0;0
1050;0;0
1070;0;0
1090;0;0
1110;0;0
1130;0;0
1150;0;0
1170;0;0
1190;0;0
1210;0;0
1230;0;0
1250;0;0
1270;0;0
1290;0;0
1310;0;0
1330;0;0
1350;0;0
1370;0;0
1390;0;0
1410;0;0
1430;0;0
1450;0;0
1470;0;0
1490;0;0
1510;0;0
1530;0;0
1550;0;0
1570;0;-0,008333333
1590;0;0,004166667
1610;0;0
1630;0;0,0125
1650;0;-0,004166667
1670;0;0,004166667
1690;0;0,008333333
1710;0;-0,016666667
1730;0;0,033333333
1750;0;0,008333333
1770;0;0,045833333
1790;0;0,008333333
1810;0;0,079166667
1830;0;0,1125
1850;0;0,133333333
1870;0;0,091666667
1890;0;0,1375
1910;0;0,070833333
1930;0;0,091666667
1950;0;0,058333333
1970;0;0,029166667
1990;0;0,05
2010;0;0,083333333
2030;0;0,116666667
2050;0;0,1125
2070;0;0,045833333
2090;0;0,1
2110;0;0,1875
2130;0;0,141666667
2150;0;0,179166667
2170;0;0,154166667
2190;0;0,116666667
2210;0;0,0625
2230;0;0,095833333
2250;0;0,054166667
2270;0;0,083333333
2290;0;0,091666667
2310;0;0,045833333
2330;0;0,079166667
2350;0;0,083333333
2370;0;0,083333333
2390;0;0,15
2410;0;0,129166667
